row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2023,Đơn vị tính: VND Năm 2022,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2023,numeric__Đơn vị tính: VND Năm 2022
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,106.043.823.858,271.903.811.267,1.0,,106043823858.0,271903811267.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và Bất động sản đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và Bất động sản đầu tư,- Khấu hao TSCĐ và Bất động sản đầu tư,02,,7.526.731.816,8.119.667.050,2.0,,7526731816.0,8119667050.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,6.895.338.095,93.086.584.695,3.0,,6895338095.0,93086584695.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(132.539.576.016),(405.463.904.101),5.0,,-132539576016.0,-405463904101.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,,185.944.345,8.238.240.198,6.0,,185944345.0,8238240198.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,(11.887.737.902),(24.115.600.891),8.0,,-11887737902.0,-24115600891.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,(333.796.421.688),(580.837.611.637),9.0,,-333796421688.0,-580837611637.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,231.717.840.395,(293.841.896.935),10.0,,231717840395.0,-293841896935.0
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(180.526.733.226),361.423.047.881,11.0,,-180526733226.0,361423047881.0
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,,226.781.015,2.276.151.491,12.0,,226781015.0,2276151491.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(325.457.015),(7.993.377.184),14.0,,-325457015.0,-7993377184.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,,(82.588.381),(5.923.060.594),15.0,,-82588381.0,-5923060594.0
- Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > - Tiền chi khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,17,,(20.651.082.814),(8.554.771.572),17.0,,-20651082814.0,-8554771572.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(315.325.399.616),(557.567.119.441),20.0,,-315325399616.0,-557567119441.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
