row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2023VND,Giá trị ghi số > 01/01/2023VND,numeric__Giá trị ghi số > 31/12/2023VND,numeric__Giá trị ghi số > 01/01/2023VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,862.951.437.491,53.693.609.626,862951437491.0,53693609626.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,781.197.084.596,676.754.962.586,781197084596.0,676754962586.0
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.286.819.000.000,210.000.000.000,1286819000000.0,210000000000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.930.967.522.087,940.448.572.212,2930967522087.0,940448572212.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,153.266.975.079,5.972.000.000,153266975079.0,5972000000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,181.161.826.269,207.107.917.215,181161826269.0,207107917215.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,105.350.344,151.818.182,105350344.0,151818182.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,334.534.151.692,213.231.735.397,334534151692.0,213231735397.0
