row_label_raw,row_label_full,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,43.400.532.398,26.507.098.504,numeric__43.400.532.398,numeric__26.507.098.504
Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,529.258.720,-,529258720.0,
Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,1.779.750,1.395.600,1779750.0,1395600.0
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,708.789.656,9.413.839.495,708789656.0,9413839495.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,901.007.683,910.847.509,901007683.0,910847509.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,162.157.450,3.852.000,162157450.0,3852000.0
Công ty TNHH Phát triển nguồn nhân lực C.E.O,Công ty TNHH Phát triển nguồn nhân lực C.E.O,Công ty TNHH Phát triển nguồn nhân lực C.E.O,1.081.495.159,541.354.278,1081495159.0,541354278.0
Công ty CP Cung ứng nhân lực Quốc tế Việt Nam,Công ty CP Cung ứng nhân lực Quốc tế Việt Nam,Công ty CP Cung ứng nhân lực Quốc tế Việt Nam,-,15.000.000,,15000000.0
Vay,Vay,Vay,,,,
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Vay > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,-,125.000.000.000,,125000000000.0
Trả tiền vay,Trả tiền vay,Trả tiền vay,,,,
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Trả tiền vay > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,-,125.000.000.000,,125000000000.0
Cho vay,Cho vay,Cho vay,,,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,24.500.000.000,-,24500000000.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,123.000.000.000,-,123000000000.0,
Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,,,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Thu tiền cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,-,58.750.000.000,,58750000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Thu tiền cho vay > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,-,45.000.000.000,,45000000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Thu tiền cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,90.280.000.000,-,90280000000.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,,,,
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Chi phí lãi vay > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,-,244.863.014,,244863014.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,,,,
