row_label_raw,row_label_full,Thu nhập khác,Thu nhập khác_1,Thu nhập khác_2,numeric__Thu nhập khác_1,numeric__Thu nhập khác_2
,,,Năm 2023VND,Năm 2022VND,,
Lãi chậm nộp tiền mua căn hộ,Lãi chậm nộp tiền mua căn hộ,Lãi chậm nộp tiền mua căn hộ,128.632.667,174.655.670,128632667.0,174655670.0
"Thu tiền phạt chấm dứt hợp đồng, phạt vi phạm nội quy","Thu tiền phạt chấm dứt hợp đồng, phạt vi phạm nội quy","Thu tiền phạt chấm dứt hợp đồng, phạt vi phạm nội quy",594.411.433,168.598.263,594411433.0,168598263.0
Thu thanh lý TSCĐ,Thu thanh lý TSCĐ,Thu thanh lý TSCĐ,-,368.244.442,,368244442.0
Thu tiền từ dự án Sunny và Chi Đông,Thu tiền từ dự án Sunny và Chi Đông,Thu tiền từ dự án Sunny và Chi Đông,-,1.625.392.558,,1625392558.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,415.236.773,64.300.425,415236773.0,64300425.0
Cộng,Cộng,Cộng,1.138.280.873,2.401.191.358,1138280873.0,2401191358.0
