row_label_raw,row_label_full,Khoản mục,"Bản quyền, bằng sáng chế",Chương trình phần mềm,"Nhăn hiệu, tên thương mại",Tổng cộng,"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,"numeric__Nhăn hiệu, tên thương mại",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2023,Nguyên giá > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,208.518.000,3.158.725.750,267.227.596,3.634.471.346,208518000.0,3158725750.0,267227596.0,3634471346.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.020.000.000,-,1.020.000.000,,1020000000.0,,1020000000.0
Số dư ngày 31/12/2023,Nguyên giá > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,208.518.000,4.178.725.750,267.227.596,4.654.471.346,208518000.0,4178725750.0,267227596.0,4654471346.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư ngày 01/01/2023,Giá trị hao mòn lũy kế > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,208.518.000,2.531.485.604,267.227.596,3.007.231.200,208518000.0,2531485604.0,267227596.0,3007231200.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,652.446.235,-,652.446.235,,652446235.0,,652446235.0
Số dư ngày 31/12/2023,Giá trị hao mòn lũy kế > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,208.518.000,3.183.931.839,267.227.596,3.659.677.435,208518000.0,3183931839.0,267227596.0,3659677435.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2023,Giá trị còn lại > Tại ngày 01/01/2023,Tại ngày 01/01/2023,-,627.240.146,-,627.240.146,,627240146.0,,627240146.0
Tại ngày 31/12/2023,Giá trị còn lại > Tại ngày 31/12/2023,Tại ngày 31/12/2023,-,994.793.911,-,994.793.911,,994793911.0,,994793911.0
