row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2017VNĐ,2016VNĐ,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán hàng,Doanh thu > Doanh thu bán hàng,Doanh thu bán hàng,12.612.573.264.894,8.873.666.447.696,12612573264894.0,8873666447696.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,24.975.865.110,67.948.722.590,24975865110.0,67948722590.0
,,,12.637.549.130.004,8.941.615.170.286,12637549130004.0,8941615170286.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,5.804.081.492,67.101.819,5804081492.0,67101819.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,2.456.029.410,4.033.812.044,2456029410.0,4033812044.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,10.004.986.529,1.267.590.556,10004986529.0,1267590556.0
,,,18.265.097.431,5.368.504.419,18265097431.0,5368504419.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Các khoản giảm trừ > Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,12.619.284.032.573,8.936.246.665.867,12619284032573.0,8936246665867.0
