row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,438.899.200.000,62.100.000.000,9.069.971.565,1.122.564.942,128.566.890.073,-,639.758.626.580,438899200000.0,62100000000.0,9069971565.0,1122564942.0,128566890073.0,,639758626580.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,221.444.410.000,263.800.000.000,-,-,-,3.000.000.000,488.244.410.000,221444410000.0,263800000000.0,,,,3000000000.0,488244410000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,517.770.015.364,(396.390),517.769.618.974,,,,,517770015364.0,-396390.0,517769618974.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,(61.544.410.000),-,-,-,-,(61.544.410.000),,-61544410000.0,,,,,-61544410000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(3.781.822.956),-,(3.781.822.956),,,,,-3781822956.0,,-3781822956.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.781.822.956,-,(3.781.822.956),-,-,,,3781822956.0,,-3781822956.0,,
Trích quỹ khác thuộc chủ sở hữu,Trích quỹ khác thuộc chủ sở hữu,Trích quỹ khác thuộc chủ sở hữu,-,-,-,3.781.822.956,(3.781.822.956),-,-,,,,3781822956.0,-3781822956.0,,
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,660.343.610.000,264.355.590.000,12.851.794.521,4.904.387.898,634.991.436.569,2.999.603.610,1.580.446.422.598,660343610000.0,264355590000.0,12851794521.0,4904387898.0,634991436569.0,2999603610.0,1580446422598.0
Vốn tăng trong năm (*),Vốn tăng trong năm (*),Vốn tăng trong năm (*),639.656.390.000,501.900.000.000,-,-,(330.170.940.000),-,811.385.450.000,639656390000.0,501900000000.0,,,-330170940000.0,,811385450000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,707.512.319.409,-,707.512.319.409,,,,,707512319409.0,,707512319409.0
Tạm ứng cổ tức năm 2017 (**),Tạm ứng cổ tức năm 2017 (**),Tạm ứng cổ tức năm 2017 (**),-,-,-,-,(130.000.000.000),-,(130.000.000.000),,,,,-130000000000.0,,-130000000000.0
Mua phần vốn công ty con,Mua phần vốn công ty con,Mua phần vốn công ty con,-,-,-,-,(396.390),(2.999.603.610),(3.000.000.000),,,,,-396390.0,-2999603610.0,-3000000000.0
"Trích quỹ khen thưởng, phúc lợi (***)","Trích quỹ khen thưởng, phúc lợi (***)","Trích quỹ khen thưởng, phúc lợi (***)",-,-,-,-,(25.888.813.583),-,(25.888.813.583),,,,,-25888813583.0,,-25888813583.0
Trích quỹ đầu tư phát triển (***),Trích quỹ đầu tư phát triển (***),Trích quỹ đầu tư phát triển (***),-,-,10.355.525.433,-,(10.355.525.433),-,-,,,10355525433.0,,-10355525433.0,,
Trích quỹ khác thuộc chủ sở hữu (***),Trích quỹ khác thuộc chủ sở hữu (***),Trích quỹ khác thuộc chủ sở hữu (***),-,-,-,15.533.288.150,(15.533.288.150),-,-,,,,15533288150.0,-15533288150.0,,
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.300.000.000.000,766.255.590.000,23.207.319.954,20.437.676.048,830.554.792.422,-,2.940.455.378.424,1300000000000.0,766255590000.0,23207319954.0,20437676048.0,830554792422.0,,2940455378424.0
