row_label_raw,row_label_full,col_0,Tại ngày1.1.2017VND,Vay trong nămVND,Đã trả trong nămVND,Nợ dài hạnđến hạn trảVND,Phân loại lạiVND,Tại ngày31.12.2017VND,numeric__Tại ngày1.1.2017VND,numeric__Vay trong nămVND,numeric__Đã trả trong nămVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Phân loại lạiVND,numeric__Tại ngày31.12.2017VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.488.404.650.348,573.155.020.536,(290.415.352.901),(439.032.054.867),37.825.911.450,1.369.938.174.566,1488404650348.0,573155020536.0,-290415352901.0,-439032054867.0,37825911450.0,1369938174566.0
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,370.000.000.000,-,(110.000.000.000),-,-,260.000.000.000,370000000000.0,,-110000000000.0,,,260000000000.0
Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,1.638.131.754,65.668.445.885,(1.724.961.184),(19.384.366.759),-,46.197.249.696,1638131754.0,65668445885.0,-1724961184.0,-19384366759.0,,46197249696.0
,,,1.860.042.782.102,638.823.466.421,(402.140.314.085),(458.416.421.626),37.825.911.450,1.676.135.424.262,1860042782102.0,638823466421.0,-402140314085.0,-458416421626.0,37825911450.0,1676135424262.0
Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,Giá trị,Tiền tệ,Ngày đáo hạn,Hình thức đảm bảo,Hình thức đảm bảo,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,1.253.861.786.433,USD,2/2019-11/2022,"Nhà cửa vật kiến trúc; Máy móc thiết bị; Thiết bị và phương tiện vận tải, truyền dẫn; Dụng cụ quản lý","Nhà cửa vật kiến trúc; Máy móc thiết bị; Thiết bị và phương tiện vận tải, truyền dẫn; Dụng cụ quản lý",,1253861786433.0,,,,
Ngân hàng TMCP Tiên Phong,Ngân hàng > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,,114.326.388.133,USD,10/2022,Nhà cửa vật kiến trúc; Máy móc thiết bị; quyền sử dụng đất,Nhà cửa vật kiến trúc; Máy móc thiết bị; quyền sử dụng đất,,114326388133.0,,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,,1.750.000.000,VND,3/2019 - 06/2021,Xe Mercedes BenZ S500,Xe Mercedes BenZ S500,,1750000000.0,,,,
,,,,1.369.938.174.566,,,,,,1369938174566.0,,,,
