row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND",Phươngtiện vận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND",numeric__Phươngtiện vận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,368.608.533.418,1.867.289.085.780,169.208.337.882,6.238.814.028,985.089.600,2.412.329.860.708,368608533418.0,1867289085780.0,169208337882.0,6238814028.0,985089600.0,2412329860708.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,69.200.000,44.214.459.388,12.274.797.273,55.300.000,-,56.613.756.661,69200000.0,44214459388.0,12274797273.0,55300000.0,,56613756661.0
Xây dựng cơ bản mới hoànthành (Thuyết minh 11),Nguyên giá > Xây dựng cơ bản mới hoànthành (Thuyết minh 11),Xây dựng cơ bản mới hoànthành (Thuyết minh 11),345.937.036.164,1.614.986.944.994,52.226.803.175,1.778.587.393,-,2.014.929.371.726,345937036164.0,1614986944994.0,52226803175.0,1778587393.0,,2014929371726.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.209.066.390),-,-,(1.209.066.390),,,-1209066390.0,,,-1209066390.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,714.614.769.582,3.526.490.490.162,232.500.871.940,8.072.701.421,985.089.600,4.482.663.922.705,714614769582.0,3526490490162.0,232500871940.0,8072701421.0,985089600.0,4482663922705.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,85.979.945.353,469.985.364.234,28.485.444.689,3.368.217.472,461.282.583,588.280.254.331,85979945353.0,469985364234.0,28485444689.0,3368217472.0,461282583.0,588280254331.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,39.610.305.246,259.771.437.003,13.745.436.548,763.739.250,50.204.640,313.941.122.687,39610305246.0,259771437003.0,13745436548.0,763739250.0,50204640.0,313941122687.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(665.949.451),-,-,(665.949.451),,,-665949451.0,,,-665949451.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,125.590.250.599,729.756.801.237,41.564.931.786,4.131.956.722,511.487.223,901.555.427.567,125590250599.0,729756801237.0,41564931786.0,4131956722.0,511487223.0,901555427567.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,282.628.588.065,1.397.303.721.546,140.722.893.193,2.870.596.556,523.807.017,1.824.049.606.377,282628588065.0,1397303721546.0,140722893193.0,2870596556.0,523807017.0,1824049606377.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,589.024.518.983,2.796.733.688.925,190.935.940.154,3.940.744.699,473.602.377,3.581.108.495.138,589024518983.0,2796733688925.0,190935940154.0,3940744699.0,473602377.0,3581108495138.0
