row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2017VNĐ,2016VNĐ,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,781.486.244.287,607.765.121.634,781486244287.0,607765121634.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,156.297.248.857,121.553.024.327,156297248857.0,121553024327.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,,,
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(1.500.858.091),-,-1500858091.0,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,267.886.757,903.802.079,267886757.0,903802079.0
U'u đãi thuế,Điều chỉnh: > U'u đãi thuế,U'u đãi thuế,(81.090.352.645),(32.461.323.747),-81090352645.0,-32461323747.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),73.973.924.878,89.995.502.660,73973924878.0,89995502660.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,,,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,74.256.697.397,89.995.715.745,74256697397.0,89995715745.0
Thuế TNDN - hoãn lại,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,(282.772.519),(213.085),-282772519.0,-213085.0
,,,73.973.924.878,89.995.502.660,73973924878.0,89995502660.0
