row_label_raw,row_label_full,col_0,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
,,,2017VNĐ,2016VNĐ,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu tiền bồi thường,Thu nhập khác > Thu tiền bồi thường,Thu tiền bồi thường,17.396.547.888,3.406.222.256,17396547888.0,3406222256.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,3.998.993.326,73.716.926,3998993326.0,73716926.0
,,,21.395.541.214,3.479.939.182,21395541214.0,3479939182.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
"Lỗ thanh lý, nhượng bán TSCĐ","Chi phí khác > Lỗ thanh lý, nhượng bán TSCĐ","Lỗ thanh lý, nhượng bán TSCĐ",177.662.393,455.094.441,177662393.0,455094441.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.667.532.379,2.676.391.644,1667532379.0,2676391644.0
,,,1.845.194.772,3.131.486.085,1845194772.0,3131486085.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,19.550.346.442,348.453.097,19550346442.0,348453097.0
