row_label_raw,row_label_full,Họ và tên,Chức vụ,Ngày bổ nhiệm/miễn nhiệm,numeric__Chức vụ,numeric__Ngày bổ nhiệm/miễn nhiệm
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Tổng Giám đốc,,,
Ông Lê Trung Việt,Ông Lê Trung Việt,Ông Lê Trung Việt,Phó Tổng Giám đốc,,,
Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Phó Tổng Giám đốc,,,
Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Phó Tổng Giám đốc,,,
Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Phó Tổng Giám đốc,Miễn nhiệm ngày 12 tháng 4 năm 2022,,
Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Phó Tổng Giám đốc,,,
Ông Đỗ Anh Tuấn,Ông Đỗ Anh Tuấn,Ông Đỗ Anh Tuấn,Phó Tổng Giám đốc,Miễn nhiệm ngày 06 tháng 3 năm 2023,,
Ông Trần Văn Thái Bình,Ông Trần Văn Thái Bình,Ông Trần Văn Thái Bình,Phó Tổng Giám đốc,Bổ nhiệm ngày 24 tháng 5 năm 2022,,
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Tổng Giám đốc,Bổ nhiệm ngày 06 tháng 7 năm 2022Miễn nhiệm ngày 25 tháng 11 năm 2022,,
Ông Trần Hồng Minh,Ông Trần Hồng Minh,Ông Trần Hồng Minh,Phó Tổng Giám đốc,Bổ nhiệm ngày 25 tháng 11 năm 2022,,
Bà Nguyễn Thị Thanh Hường,Bà Nguyễn Thị Thanh Hường,Bà Nguyễn Thị Thanh Hường,Phó Tổng Giám đốc,Bổ nhiệm ngày 05 tháng 01 năm 2023,,
