row_label_raw,row_label_full,Thuế và các khoản phải nộp cho Nhà nước (xem thuyết minh số VIII.2),Số cuối năm > 50.265,Số dau năm > 76.179,numeric__Số cuối năm > 50.265,numeric__Số dau năm > 76.179
"Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên",-,27.184,,27184.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.035.154,431.941,1035154.0,431941.0
Quỹ khen thưởng và phúc lợi (1),Quỹ khen thưởng và phúc lợi (1),Quỹ khen thưởng và phúc lợi (1),49.220,10.124,49220.0,10124.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,1.500,3.715,1500.0,3715.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,26.818,18.359,26818.0,18359.0
Phải trả khác,Phải trả khác,Phải trả khác,31.598,19.259,31598.0,19259.0
Cộng,Cộng,Cộng,1.194.555,586.761,1194555.0,586761.0
