row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",742.817,-,1.046.615,-,742817.0,,1046615.0,
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.347.927,-,4.755.046,-,1347927.0,,4755046.0,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,23.777.634,-,29.872.517,-,23777634.0,,29872517.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,144.176,-,-,-,144176.0,,,
Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,38.707,-,6.036,-,38707.0,,6036.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,44.702.595,(579.859),38.387.339,(366.816),44702595.0,-579859.0,38387339.0,-366816.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,7.590.841,(5.966),7.093.616,(5.956),7590841.0,-5966.0,7093616.0,-5956.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.097.493,,655.388,-,1097493.0,,655388.0,
Các tài sản có khác,Các tài sản có khác,Các tài sản có khác,4.998.898,(29.304),603.302,(29.304),4998898.0,-29304.0,603302.0,-29304.0
Cộng,Cộng,Cộng,84.441.088,(615.129),82.419.859,(402.076),84441088.0,-615129.0,82419859.0,-402076.0
