row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai tháctài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai tháctài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,6.379.155,58.603,(33.026),6.404.732,6379155.0,58603.0,-33026.0,6404732.0
Chi phí,Năm nay > Chi phí,Chi phí,5.628.630,59.790,(32.703),5.655.717,5628630.0,59790.0,-32703.0,5655717.0
Chi phí khấu hao tài sản cố định,Năm nay > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,66.796,356,-,67.152,66796.0,356.0,,67152.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,683.729,(1.543),(323),681.863,683729.0,-1543.0,-323.0,681863.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,5.966.300,59.208,(25.285),6.000.223,5966300.0,59208.0,-25285.0,6000223.0
Chi phí,Năm trước > Chi phí,Chi phí,4.889.612,58.419,(25.285),4.922.746,4889612.0,58419.0,-25285.0,4922746.0
Chi phí khấu hao tài sản cố định,Năm trước > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,67.087,385,-,67.472,67087.0,385.0,,67472.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.009.601,404,-,1.010.005,1009601.0,404.0,,1010005.0
