row_label_raw,row_label_full,col_0,Quản hiệu > Trế3 tháng,Quản hiệu > Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Cộng,numeric__Quản hiệu > Trế3 tháng,numeric__Quản hiệu > Đến 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.046.615,-,-,-,-,1.046.615,,,1046615.0,,,,,1046615.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,4.755.046,-,-,-,-,4.755.046,,,4755046.0,,,,,4755046.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,27.827.097,2.045.420,-,-,-,29.872.517,,,27827097.0,2045420.0,,,,29872517.0
Công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác (*),Công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,6.036,-,-,-,-,6.036,,,6036.0,,,,,6036.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),726.176,206.181,4.100.238,4.583.948,13.483.129,8.759.677,6.527.990,38.387.339,726176.0,206181.0,4100238.0,4583948.0,13483129.0,8759677.0,6527990.0,38387339.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,150.000,150.000,1.194.307,5.599.309,7.093.616,,,,150000.0,150000.0,1194307.0,5599309.0,7093616.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,607.663,10,3.582,58.463,733.550,1.403.268,,,607663.0,10.0,3582.0,58463.0,733550.0,1403268.0
Các tài sản có khác (*),Tài sản > Các tài sản có khác (*),Các tài sản có khác (*),54.510,-,655.388,950.229,-,-,-,1.660.127,54510.0,,655388.0,950229.0,,,,1660127.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,780.686,206.181,38.998.083,7.729.607,13.636.711,10.012.447,12.860.849,84.224.564,780686.0,206181.0,38998083.0,7729607.0,13636711.0,10012447.0,12860849.0,84224564.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,23.727.002,2.046.898,33.498,15.000,8.396,25.830.794,,,23727002.0,2046898.0,33498.0,15000.0,8396.0,25830794.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,17.344.960,11.677.946,20.547.527,1.826.319,853,51.397.605,,,17344960.0,11677946.0,20547527.0,1826319.0,853.0,51397605.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,300.000,-,-,300.000,,,,,300000.0,,,300000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.614.672,-,-,-,-,1.614.672,,,1614672.0,,,,,1614672.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,42.686.634,13.724.844,20.881.025,1.841.319,9.249,79.143.071,,,42686634.0,13724844.0,20881025.0,1841319.0,9249.0,79143071.0
Chênh lệch thanh khoản ròng,Nợ phải trả > Chênh lệch thanh khoản ròng,Chênh lệch thanh khoản ròng,780.686,206.181,(3.688.551),(5.995.237),(7.244.314),8.171.128,12.851.600,5.081.493,780686.0,206181.0,-3688551.0,-5995237.0,-7244314.0,8171128.0,12851600.0,5081493.0
