row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Dự phòng cụ thể
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số đầu năm trước,Năm trước > Số đầu năm trước,Số đầu năm trước,(234.686),(58.467),-234686.0,-58467.0
Dự phòng rủi ro trích lập trong năm trước,Năm trước > Dự phòng rủi ro trích lập trong năm trước,Dự phòng rủi ro trích lập trong năm trước,(25.943),(55.704),-25943.0,-55704.0
Sử dụng dự phòng trong năm trước,Năm trước > Sử dụng dự phòng trong năm trước,Sử dụng dự phòng trong năm trước,-,7.984,,7984.0
Số cuối năm trước,Năm trước > Số cuối năm trước,Số cuối năm trước,(260.629),(106.187),-260629.0,-106187.0
Chi tiết số dự phòng,Chi tiết số dự phòng,Chi tiết số dự phòng,Chi tiết số dự phòng,Chi tiết số dự phòng,,
,,,Số cuối năm,Số đầu năm,,
Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,,
Dự phòng chung,Dự phòng rủi ro cho vay khách hàng: > Dự phòng chung,Dự phòng chung,(323.385),(260.629),-323385.0,-260629.0
Dự phòng cụ thể,Dự phòng rủi ro cho vay khách hàng: > Dự phòng cụ thể,Dự phòng cụ thể,(256.474),(106.187),-256474.0,-106187.0
Cộng,Dự phòng rủi ro cho vay khách hàng: > Cộng,Cộng,(579.859),(366.816),-579859.0,-366816.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,
,,,Số cuối năm,Số đầu năm,,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,1.541.999,1.641.483,1541999.0,1641483.0
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
- Trái phiếu Chính phủ,Chứng khoán nợ > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,348.597,447.176,348597.0,447176.0
- Trái phiếu do các TCTD khác trong nước phát hành,Chứng khoán nợ > - Trái phiếu do các TCTD khác trong nước phát hành,- Trái phiếu do các TCTD khác trong nước phát hành,397.800,400.000,397800.0,400000.0
- Trái phiếu do các tổ chức kinh tế trong nước phát hành,Chứng khoán nợ > - Trái phiếu do các tổ chức kinh tế trong nước phát hành,- Trái phiếu do các tổ chức kinh tế trong nước phát hành,795.602,794.307,795602.0,794307.0
Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Chứng khoán nợ > Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,(5.966),(5.956),-5966.0,-5956.0
Dự phòng chung,Chứng khoán nợ > Dự phòng chung,Dự phòng chung,(5.966),(5.956),-5966.0,-5956.0
Cộng chứng khoán đầu tư sẵn sàng để bán,Chứng khoán nợ > Cộng chứng khoán đầu tư sẵn sàng để bán,Cộng chứng khoán đầu tư sẵn sàng để bán,1.536.033,1.635.527,1536033.0,1635527.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),,
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Trái phiếu Chính phủ (1),Chứng khoán nợ > Trái phiếu Chính phủ (1),Trái phiếu Chính phủ (1),6.048.842,5.152.133,6048842.0,5152133.0
Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ > Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ do các TCTD trong nước phát hành,-,300.000,,300000.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán nợ > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,6.048.842,5.452.133,6048842.0,5452133.0
Cộng chứng khoán đầu tư,Chứng khoán nợ > Cộng chứng khoán đầu tư,Cộng chứng khoán đầu tư,7.584.875,7.087.660,7584875.0,7087660.0
