row_label_raw,row_label_full,Tại 31/12/2024,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khác được quy đổi,Cộng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,141,107,-,248,141.0,107.0,,248.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,25,-,-,25,25.0,,,25.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),1.946.598,2.115,2.347,1.951.060,1946598.0,2115.0,2347.0,1951060.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),7.325.197,-,-,7.325.197,7325197.0,,,7325197.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.216.815,-,-,3.216.815,3216815.0,,,3216815.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),245.490,24,2.374,247.888,245490.0,24.0,2374.0,247888.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,12.734.266,2.246,4.721,12.741.233,12734266.0,2246.0,4721.0,12741233.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,3.810.743,-,-,3.810.743,3810743.0,,,3810743.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",8.156.297,-,-,8.156.297,8156297.0,,,8156297.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,179.544,-,-,179.544,179544.0,,,179544.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,12.146.584,-,-,12.146.584,12146584.0,,,12146584.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,587.682,2.246,4.721,594.649,587682.0,2246.0,4721.0,594649.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",587.682,2.246,4.721,594.649,587682.0,2246.0,4721.0,594649.0
