row_label_raw,row_label_full,Tại 31/12/2024,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Quá hạn > Đến 1 tháng,Trong hạn > Từ 1 – 3 tháng,Trong hạn > Từ 3 – 12 tháng,Trong hạn > Từ 1 – 5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 – 3 tháng,numeric__Trong hạn > Từ 3 – 12 tháng,numeric__Trong hạn > Từ 1 – 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,4.360,-,-,-,-,4.360,,,4360.0,,,,,4360.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,497.213,-,-,-,-,497.213,,,497213.0,,,,,497213.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,2.350.162,2.541.563,-,-,-,4.891.725,,,2350162.0,2541563.0,,,,4891725.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,305.682,51.062,357.461,714.205,,,,,305682.0,51062.0,357461.0,714205.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),740.056,166.263,524.073,7.113.996,19.183.163,15.994.085,3.081.346,46.802.982,740056.0,166263.0,524073.0,7113996.0,19183163.0,15994085.0,3081346.0,46802982.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,1.662.374,-,-,55.875,363.926,2.082.175,,,1662374.0,,,55875.0,363926.0,2082175.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.881.987,1.881.987,,,,,,,1881987.0,1881987.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,65.309,65.309,,,,,,,65309.0,65309.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),2.325,61.481,2.357.353,230.700,800.000,-,-,3.451.859,2325.0,61481.0,2357353.0,230700.0,800000.0,,,3451859.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,742.381,227.744,7.395.535,9.886.259,20.288.845,16.101.022,5.750.029,60.391.815,742381.0,227744.0,7395535.0,9886259.0,20288845.0,16101022.0,5750029.0,60391815.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,2.150.200,2.500.968,7.083.125,-,-,11.734.293,,,2150200.0,2500968.0,7083125.0,,,11734293.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,168.780,3.207.676,5.330.026,1.504.241,-,10.210.723,,,168780.0,3207676.0,5330026.0,1504241.0,,10210723.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,51.858,115.976,(3.117),-,-,164.717,,,51858.0,115976.0,-3117.0,,,164717.0
"Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,98.660,613.364,1.227.934,5.052.636,1.595.080,8.587.674,,,98660.0,613364.0,1227934.0,5052636.0,1595080.0,8587674.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,771.000,5.057.000,11.003.000,-,1.725.000,18.556.000,,,771000.0,5057000.0,11003000.0,,1725000.0,18556000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,850.592,487.374,-,-,-,1.337.966,,,850592.0,487374.0,,,,1337966.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,4.091.090,11.982.358,24.640.968,6.556.877,3.320.080,50.591.373,,,4091090.0,11982358.0,24640968.0,6556877.0,3320080.0,50591373.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,742.381,227.744,3.304.445,(2.096.099),(4.352.123),9.544.145,2.429.949,9.800.442,742381.0,227744.0,3304445.0,-2096099.0,-4352123.0,9544145.0,2429949.0,9800442.0
