row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Tại 31/12/2024,Tại 31/12/2023,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Tại 31/12/2024,numeric__Tại 31/12/2023
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các TCTD khác,V.13,11.734.293,10.911.760,,,11734293.0,10911760.0
1.,B > 1.,1.,Tiền gửi của các TCTD khác,,3.870.200,4.600.000,,,3870200.0,4600000.0
2.,B > 2.,2.,Vay các TCTD khác,,7.864.093,6.311.760,,,7864093.0,6311760.0
III.,B > III.,III.,Tiền gửi của khách hàng,V.14,10.210.723,3.001.537,,,10210723.0,3001537.0
IV.,B > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,164.717,-,,,164717.0,
V.,B > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",V.15,8.587.674,8.016.400,,,8587674.0,8016400.0
VI.,B > VI.,VI.,Phát hành giấy tờ có giá,V.16,18.556.000,17.421.000,,,18556000.0,17421000.0
VII.,B > VII.,VII.,Các khoản nợ khác,,1.337.966,1.414.216,,,1337966.0,1414216.0
1.,B > 1.,1.,"Các khoản lãi, phí phải trả",V.17,1.036.166,1.210.461,,,1036166.0,1210461.0
2.,B > 2.,2.,Các khoản phải trả và công nợ khác,V.18,301.800,203.755,,,301800.0,203755.0
,,,TỔNG NỘ PHẢI TRẢ,,50.591.373,40.764.913,,,50591373.0,40764913.0
VIII.,B > VIII.,VIII.,Vốn và các quỹ,V.20,9.007.188,8.456.218,,,9007188.0,8456218.0
1.,B > 1.,1.,Vốn của Tổ chức tín dụng,,7.958.548,7.395.373,,,7958548.0,7395373.0
,,,Vốn điều lệ,,7.605.658,7.042.483,,,7605658.0,7042483.0
,,,"Vốn đầu tư XDCB, mua sắm tài sản cố định",,2.328,2.328,,,2328.0,2328.0
,,,Thặng dư vốn cổ phần,,350.562,350.562,,,350562.0,350562.0
2.,B > 2.,2.,Quỹ của TCTD,,480.140,430.883,,,480140.0,430883.0
3.,B > 3.,3.,Lợi nhuận chưa phân phối,,568.500,629.962,,,568500.0,629962.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,9.007.188,8.456.218,,,9007188.0,8456218.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,59.598.561,49.221.131,,,59598561.0,49221131.0
