row_label_raw,row_label_full,col_0,Tại 31/12/2024,Tại 31/12/2023,numeric__Tại 31/12/2024,numeric__Tại 31/12/2023
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,49.757,33.234,49757.0,33234.0
Phải trả cho nhân viên,Phải trả cho nhân viên,Phải trả cho nhân viên,22.335,9.067,22335.0,9067.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",27.422,24.167,27422.0,24167.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,252.043,170.521,252043.0,170521.0
"Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.19)","Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.19)","Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.19)",139.193,72.214,139193.0,72214.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,21.033,22.773,21033.0,22773.0
Các khoản chờ thanh toán – nghiệp vụ tín dụng,Các khoản chờ thanh toán – nghiệp vụ tín dụng,Các khoản chờ thanh toán – nghiệp vụ tín dụng,75.603,63.209,75603.0,63209.0
Các khoản chờ thanh toán – nghiệp vụ đầu tư,Các khoản chờ thanh toán – nghiệp vụ đầu tư,Các khoản chờ thanh toán – nghiệp vụ đầu tư,3.060,2.903,3060.0,2903.0
Chi phí trích trước,Chi phí trích trước,Chi phí trích trước,267,2.956,267.0,2956.0
Phải trả Nhà cung cấp,Phải trả Nhà cung cấp,Phải trả Nhà cung cấp,10.252,5.152,10252.0,5152.0
"Phải trả cho các đối tác thu hộ, chi hộ","Phải trả cho các đối tác thu hộ, chi hộ","Phải trả cho các đối tác thu hộ, chi hộ",430,172,430.0,172.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,2.205,1.142,2205.0,1142.0
Cộng,Cộng,Cộng,301.800,203.755,301800.0,203755.0
