row_label_raw,row_label_full,col_0,Tại 31/12/2024,Tại 31/12/2023,numeric__Tại 31/12/2024,numeric__Tại 31/12/2023
Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,3.870.200,4.600.000,3870200.0,4600000.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,3.870.200,4.600.000,3870200.0,4600000.0
- Bằng VND,- Bằng VND,- Bằng VND,3.623.550,4.600.000,3623550.0,4600000.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,246.650,-,246650.0,
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,7.864.093,6.311.760,7864093.0,6311760.0
"Vay các TCTD trong nước, các ngân hàng nước ngoài, chi nhánh ngân hàng nước ngoài khác tại Việt Nam","Vay các TCTD trong nước, các ngân hàng nước ngoài, chi nhánh ngân hàng nước ngoài khác tại Việt Nam","Vay các TCTD trong nước, các ngân hàng nước ngoài, chi nhánh ngân hàng nước ngoài khác tại Việt Nam",6.828.163,6.311.760,6828163.0,6311760.0
- Bằng VND,- Bằng VND,- Bằng VND,4.300.000,2.700.000,4300000.0,2700000.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,2.528.163,3.611.760,2528163.0,3611760.0
Vay các TCTD nước ngoài,Vay các TCTD nước ngoài,Vay các TCTD nước ngoài,1.035.930,-,1035930.0,
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,1.035.930,-,1035930.0,
Cộng,Cộng,Cộng,11.734.293,10.911.760,11734293.0,10911760.0
