row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,"Phương tiệnvận tải,truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sản cố địnhhửu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,"numeric__Phương tiệnvận tải,truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sản cố địnhhửu hình khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số tại 01/01/2024,Nguyên giá > Số tại 01/01/2024,Số tại 01/01/2024,8.280,50.823,23.103,24.326,1.850,108.382,8280.0,50823.0,23103.0,24326.0,1850.0,108382.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,71,2.974,-,-,3.045,,71.0,2974.0,,,3045.0
Thanh lý nhượng bán,Nguyên giá > Thanh lý nhượng bán,Thanh lý nhượng bán,-,(207),(2.328),(1.358),-,(3.893),,-207.0,-2328.0,-1358.0,,-3893.0
Số tại 31/12/2024,Nguyên giá > Số tại 31/12/2024,Số tại 31/12/2024,8.280,50.687,23.749,22.968,1.850,107.534,8280.0,50687.0,23749.0,22968.0,1850.0,107534.0
Trong đó:Đã khấu hao hết nhưng vấn cònsử dụng,Nguyên giá > Trong đó:Đã khấu hao hết nhưng vấn cònsử dụng,Trong đó:Đã khấu hao hết nhưng vấn cònsử dụng,,,,,,45.737,,,,,,45737.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số tại 01/01/2024,Giá trị hao mòn > Số tại 01/01/2024,Số tại 01/01/2024,(2.455),(36.749),(17.852),(21.492),(1.366),(79.914),-2455.0,-36749.0,-17852.0,-21492.0,-1366.0,-79914.0
Tăng do trích khấu hao trong năm,Giá trị hao mòn > Tăng do trích khấu hao trong năm,Tăng do trích khấu hao trong năm,(331),(4.939),(834),(1.399),(58),(7.561),-331.0,-4939.0,-834.0,-1399.0,-58.0,-7561.0
Giảm do thanh lý nhượng bán,Giá trị hao mòn > Giảm do thanh lý nhượng bán,Giảm do thanh lý nhượng bán,-,207,2.328,1.048,-,3.583,,207.0,2328.0,1048.0,,3583.0
Số tại 31/12/2024,Giá trị hao mòn > Số tại 31/12/2024,Số tại 31/12/2024,(2.786),(41.481),(16.358),(21.843),(1.424),(83.892),-2786.0,-41481.0,-16358.0,-21843.0,-1424.0,-83892.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số tại 01/01/2024,Giá trị còn lại > Số tại 01/01/2024,Số tại 01/01/2024,5.825,14.074,5.251,2.834,484,28.468,5825.0,14074.0,5251.0,2834.0,484.0,28468.0
Số tại 31/12/2024,Giá trị còn lại > Số tại 31/12/2024,Số tại 31/12/2024,5.494,9.206,7.391,1.125,426,23.642,5494.0,9206.0,7391.0,1125.0,426.0,23642.0
