row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm 2024,Năm 2023,numeric__CHỈ TIÊU,numeric__Năm 2024,numeric__Năm 2023
,,,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,
01,01,01,Mua sắm tài sản cố định,(4.942),(9.855),,-4942.0,-9855.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",90,-,,90.0,
03,03,03,"Tiền chỉ đầu tư, góp vốn vào các đơn vị khác",(1.207.454),(858.971),,-1207454.0,-858971.0
04,04,04,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",331.851,403.000,,331851.0,403000.0
05,05,05,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",15.204,6.255,,15204.0,6255.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,(865.251),(459.571),,-865251.0,-459571.0
,,,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
01,01,01,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,-,3.882.405,,,3882405.0
02,02,02,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(1.740),(2.302),,-1740.0,-2302.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,(1.740),3.880.103,,-1740.0,3880103.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,(5.869.580),198.067,,-5869580.0,198067.0
V,V,V,Tiền và tương đương tiền đầu năm,11.262.878,11.064.811,,11262878.0,11064811.0
VI,VI,VI,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-,,,,
VII,VI > VII,VII,Tiền và tương đương tiền cuối năm,5.393.298,11.262.878,,5393298.0,11262878.0
