row_label_raw,row_label_full,col_0,Tỷ lệ trích%,Số tiền triệu đồng,numeric__Tỷ lệ trích%,numeric__Số tiền triệu đồng
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,5%,16.419,0.05,16419.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,10%,32.838,0.1,32838.0
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,"1,5%",4.926,0.015,4926.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,"1,5%",4.926,0.015,4926.0
