row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,"Vốn đầu tư XDCB, mua sắm TSCĐ",Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ",numeric__Tổng cộng
Số dư tại ngày 01 tháng 01 năm 2023,Số dư tại ngày 01 tháng 01 năm 2023,Số dư tại ngày 01 tháng 01 năm 2023,3.510.640,-,30.770,282.709,141.355,367.278,2.328,4.335.080,3510640.0,,30770.0,282709.0,141355.0,367278.0,2328.0,4335080.0
Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,3.510.640,350.712,-,-,-,-,-,3.861.352,3510640.0,350712.0,,,,,,3861352.0
Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,21.203,(150),-,-,-,-,-,21.053,21203.0,-150.0,,,,,,21053.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,328.379,-,328.379,,,,,,328379.0,,328379.0
Trích bổ sung các quý từ lợi nhuận năm trước,Trích bổ sung các quý từ lợi nhuận năm trước,Trích bổ sung các quý từ lợi nhuận năm trước,-,-,-,36.579,18.289,(65.695),-,(10.827),,,,36579.0,18289.0,-65695.0,,-10827.0
Sử dụng Quý Đầu tư phát triển,Sử dụng Quý Đầu tư phát triển,Sử dụng Quý Đầu tư phát triển,-,-,(779),-,-,-,-,(779),,,-779.0,,,,,-779.0
Sử dụng Quý Dự phòng tài chính,Sử dụng Quý Dự phòng tài chính,Sử dụng Quý Dự phòng tài chính,-,-,-,(78.040),-,-,-,(78.040),,,,-78040.0,,,,-78040.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,7.042.483,350.562,29.991,241.248,159.644,629.962,2.328,8.456.218,7042483.0,350562.0,29991.0,241248.0,159644.0,629962.0,2328.0,8456218.0
Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,563.175,,,,,(563.175),,-,563175.0,,,,,-563175.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,560.822,-,560.822,,,,,,560822.0,,560822.0
Trích lập các quý trong năm từ lợi nhuận năm trước,Trích lập các quý trong năm từ lợi nhuận năm trước,Trích lập các quý trong năm từ lợi nhuận năm trước,-,-,-,32.838,16.419,(59.109),-,(9.852),,,,32838.0,16419.0,-59109.0,,-9852.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,7.605.658,350.562,29.991,274.086,176.063,568.500,2.328,9.007.188,7605658.0,350562.0,29991.0,274086.0,176063.0,568500.0,2328.0,9007188.0
