row_label_raw,row_label_full,Tại 31/12/2024,Quả hạn,Không chịu lãi,Thay đổi lãi suất trong khoảng thời gian > Đến 1 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 1-3 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 3-6 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 6-12 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 1-5 năm,Thay đổi lãi suất trong khoảng thời gian > Trên 5 năm,Tổng,numeric__Quả hạn,numeric__Không chịu lãi,numeric__Thay đổi lãi suất trong khoảng thời gian > Đến 1 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 1-3 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 3-6 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 6-12 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 1-5 năm,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,4.360,-,-,-,-,-,-,4.360,,4360.0,,,,,,,4360.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,497.213,-,-,-,-,-,497.213,,,497213.0,,,,,,497213.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,2.350.162,2.541.563,-,-,-,-,4.891.725,,,2350162.0,2541563.0,,,,,4891725.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,305.682,-,51.062,357.461,714.205,,,,,305682.0,,51062.0,357461.0,714205.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),906.320,-,576.330,8.584.462,12.462.214,8.511.188,13.742.595,2.019.873,46.802.982,906320.0,,576330.0,8584462.0,12462214.0,8511188.0,13742595.0,2019873.0,46802982.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,1.662.374,-,-,-,,50.000,369.801,2.082.175,,1662374.0,,,,,50000.0,369801.0,2082175.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,1.881.987,-,-,-,-,-,-,1.881.987,,1881987.0,,,,,,,1881987.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,65.309,-,-,-,-,-,-,65.309,,65309.0,,,,,,,65309.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),63.806,3.388.053,-,-,-,-,-,-,3.451.859,63806.0,3388053.0,,,,,,,3451859.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,970.126,7.002.083,3.423.705,11.126.025,12.767.896,8.511.188,13.843.657,2.747.135,60.391.815,970126.0,7002083.0,3423705.0,11126025.0,12767896.0,8511188.0,13843657.0,2747135.0,60391815.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,2.150.200,2.500.968,4.039.950,3.043.175,-,-,11.734.293,,,2150200.0,2500968.0,4039950.0,3043175.0,,,11734293.0
Tiền gửi khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi khách hàng,Tiền gửi khách hàng,-,2.130,166.650,3.207.676,4.918.900,411.126,1.504.241,-,10.210.723,,2130.0,166650.0,3207676.0,4918900.0,411126.0,1504241.0,,10210723.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,51.858,115.976,-,(3.117),-,-,164.717,,,51858.0,115976.0,,-3117.0,,,164717.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,98.660,613.364,812.993,414.941,5.052.636,1.595.080,8.587.674,,,98660.0,613364.0,812993.0,414941.0,5052636.0,1595080.0,8587674.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,771.000,5.057.000,6.971.000,4.032.000,-,1.725.000,18.556.000,,,771000.0,5057000.0,6971000.0,4032000.0,,1725000.0,18556000.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,-,820.937,29.655,487.374,-,-,-,-,1.337.966,,820937.0,29655.0,487374.0,,,,,1337966.0
Tổng nợ phải trả,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả,Tổng nợ phải trả,-,823.067,3.268.023,11.982.358,16.742.843,7.898.125,6.556.877,3.320.080,50.591.373,,823067.0,3268023.0,11982358.0,16742843.0,7898125.0,6556877.0,3320080.0,50591373.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả và vốn chủ sở hữu > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,970.126,6.179.016,155.682,(856.333),(3.974.947),613.063,7.286.780,(572.945),9.800.442,970126.0,6179016.0,155682.0,-856333.0,-3974947.0,613063.0,7286780.0,-572945.0,9800442.0
