row_label_raw,row_label_full,Thù lao của Hội Đồng Quản Trị,3.775,3.281,numeric__3.775,numeric__3.281
Ông Hoàng Văn Ninh (*),Ông Hoàng Văn Ninh (*),Ông Hoàng Văn Ninh (*),-,229,,229.0
Bà Cao Thị Thu Hà (*),Bà Cao Thị Thu Hà (*),Bà Cao Thị Thu Hà (*),-,138,,138.0
Bà Nguyễn Thúy Trang (*),Bà Nguyễn Thúy Trang (*),Bà Nguyễn Thúy Trang (*),-,89,,89.0
Ông Phạm Trung Kiên (*),Ông Phạm Trung Kiên (*),Ông Phạm Trung Kiên (*),1.619,1.223,1619.0,1223.0
Ông Lê Mạnh Linh,Ông Lê Mạnh Linh,Ông Lê Mạnh Linh,539,468,539.0,468.0
Ông Nguyễn Trung Thành (*),Ông Nguyễn Trung Thành (*),Ông Nguyễn Trung Thành (*),539,378,539.0,378.0
Ông Lê Hoài Nam (*),Ông Lê Hoài Nam (*),Ông Lê Hoài Nam (*),539,378,539.0,378.0
Ông Nguyễn Văn Hải (*),Ông Nguyễn Văn Hải (*),Ông Nguyễn Văn Hải (*),539,378,539.0,378.0
Tiền lương của Tổng giám đốc và Người quản lý khác,Tiền lương của Tổng giám đốc và Người quản lý khác,Tiền lương của Tổng giám đốc và Người quản lý khác,9.896,11.792,9896.0,11792.0
Ông Nguyễn Hoàng Hải (*),Ông Nguyễn Hoàng Hải (*),Ông Nguyễn Hoàng Hải (*),-,970,,970.0
Ông Mai Danh Hiền (*),Ông Mai Danh Hiền (*),Ông Mai Danh Hiền (*),2.334,1.925,2334.0,1925.0
Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,1.446,1.423,1446.0,1423.0
Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,439,1.598,439.0,1598.0
Ông Đào Lê Huy,Ông Đào Lê Huy,Ông Đào Lê Huy,1.501,1.463,1501.0,1463.0
Ông Lâm Nguyễn Thiện Nhơn (*),Ông Lâm Nguyễn Thiện Nhơn (*),Ông Lâm Nguyễn Thiện Nhơn (*),274,1.236,274.0,1236.0
Bà Tôn Thị Hải Yến (*),Bà Tôn Thị Hải Yến (*),Bà Tôn Thị Hải Yến (*),1.292,1.133,1292.0,1133.0
Ông Mai Xuân Đông,Ông Mai Xuân Đông,Ông Mai Xuân Đông,725,709,725.0,709.0
Ông Hoàng Nhật Nam (*),Ông Hoàng Nhật Nam (*),Ông Hoàng Nhật Nam (*),824,356,824.0,356.0
Ông Tổng Nhật Linh,Ông Tổng Nhật Linh,Ông Tổng Nhật Linh,1.012,979,1012.0,979.0
Ông Nguyễn Tiến Sỹ,Ông Nguyễn Tiến Sỹ,Ông Nguyễn Tiến Sỹ,49,-,49.0,
Tiền lương/ thù lao của Ban Kiểm soát,Tiền lương/ thù lao của Ban Kiểm soát,Tiền lương/ thù lao của Ban Kiểm soát,2.225,1.942,2225.0,1942.0
