row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Phân loại nợ theo phương pháp định lượng,Phân loại nợ theo phương pháp định tính,Tỷ lệ dự phòng,numeric__Nhóm nợ_1,numeric__Phân loại nợ theo phương pháp định lượng,numeric__Phân loại nợ theo phương pháp định tính,numeric__Tỷ lệ dự phòng
2,2,2,Nợ cần chú ý,"(a) Nợ quá hạn từ 10 ngày đến 90 ngày; hoặc(b) Khoản nợ được điều chỉnh kỳ hạn trả nợ lần đầu còn trong hạn, trừ khoản nợ quy định tại điểm b khoản 2, khoản 3 Điều 10 Thông tư 31;(c) Nợ được phân loại vào nhóm 2 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31.",Các khoản nợ được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi nhưng có dấu hiệu khách hàng suy giảm khả năng trả nợ.,5%,,,,0.05
3,3,3,Nợ dưới tiêu chuẩn,"(a) Nợ quá hạn từ 91 ngày đến 180 ngày; hoặc(b) Nợ gia hạn nợ lần đầu; hoặc(c) Nợ được miễn hoặc giảm lãi do khách hàng không đủ khả năng trả lãi đầy đủ theo hợp đồng tín dụng; hoặc(d) Nợ thuộc một trong các trường hợp sau đây chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi:▪ Khoản nợ vi phạm quy định tại các khoản 1, 3, 4, 5, 6 Điều 134 Luật các tổ chức tín dụng; hoặc▪ Khoản nợ vi phạm quy định tại các khoản 1, 2, 3, 4 Điều 135 Luật các tổ chức tín dụng; hoặc▪ Khoản nợ vi phạm quy định tại các khoản 1, 2, 5, 9 Điều 136 Luật các tổ chức tín dụng.(e) Khoản nợ trong thời hạn thu hồi theo kết luận thanh tra, kiểm tra;(f) Khoản nợ phải thu hồi theo quyết định thu hồi nợ trước hạn của ngân hàng, tổ chức tín dụng phi ngân hàng do khách hàng vi phạm thỏa thuận với ngân hàng, tổ chức tín dụng phi ngân hàng chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi;(g) Khoản nợ được phân loại vào nhóm 3 theo quy định tại khoản 2, khoản 3 Điều 10 Thông tư 31;(h) Khoản nợ phải phân loại vào nhóm 3 theo quy định tại khoản 4 Điều 8 Thông tư 31.","Các khoản nợ được đánh giá là không có khả năng thu hồi đầy đủ cả nợ gốc và lãi khi đến hạn, có khả năng tồn thất.",20%,,,,0.2
4,4,4,Nợ nghi ngờ,"(a) Khoản nợ quá hạn từ 181 ngày đến 360 ngày, trừ khoản nợ quy định tại khoản 3 Điều 10 Thông tư 31;(b) Khoản nợ cơ cấu lại thời hạn trả nợ lần đầu quá hạn đến 90 ngày theo thời hạn trả nợ được cơ cấu lại lần đầu, trừ khoản nợ quy định tại khoản 3 Điều 10 Thông tư 31;(c) Khoản nợ cơ cấu lại thời hạn trả nợ lần thứ hai còn trong hạn, trừ khoản nợ quy định tại điểm b khoản 2, khoản 3 Điều 10 Thông tư 31;(d) Khoản nợ quy định tại điểm c(iv) khoản 1 Điều 10 Thông tư 31 chưa thu hồi được trong thời gian từ 30 ngày đến 60 ngày kể từ ngày có quyết định thu hồi;(e) Khoản nợ phải thu hồi theo kết luận thanh tra, kiểm tranhưng quá thời hạn thu hồi theo kết luận thanh tra, kiểm tra đến 60 ngày mà chưa thu hồi được;",Các khoản nợ được đánh giá là có khả năng tồn thất cao.,50%,,,,0.5
