row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Tại 31/12/2024,Tại 31/12/2023,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Tại 31/12/2024,numeric__Tại 31/12/2023
A -,A -,A -,TÀI SẢN,,,,,,,
I,A - > I,I,"Tiền mặt, vàng bạc, đá quý",V.1,4.360,1.546,,,4360.0,1546.0
II,A - > II,II,Tiền gửi tại ngân hàng Nhà nước Việt Nam ('NHNN'),V.2,497.213,1.304.924,,,497213.0,1304924.0
III,A - > III,III,Tiền gửi và cho vay các TCTD khác,V.3,4.891.725,9.956.408,,,4891725.0,9956408.0
1.,A - > 1.,1.,Tiền gửi tại các TCTD khác,V.3.1,4.891.725,9.035.288,,,4891725.0,9035288.0
2.,A - > 2.,2.,Cho vay các TCTD khác,V.3.2,-,921.120,,,,921120.0
IV,A - > IV,IV,Chứng khoán kinh doanh,V.4,714.205,-,,,714205.0,
1.,A - > 1.,1.,Chứng khoán kinh doanh,,714.205,-,,,714205.0,
V,A - > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,-,116.840,,,,116840.0
VI,A - > VI,VI,Cho vay khách hàng,,46.306.649,33.092.777,,,46306649.0,33092777.0
1.,A - > 1.,1.,Cho vay khách hàng,V.6,46.802.982,33.553.388,,,46802982.0,33553388.0
2.,A - > 2.,2.,Dự phòng rủi ro cho khách hàng,V.7,(496.333),(460.611),,,-496333.0,-460611.0
VII,A - > VII,VII,Chứng khoán đầu tư,V.8,1.902.188,1.560.097,,,1902188.0,1560097.0
1.,A - > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,2.082.175,1.664.741,,,2082175.0,1664741.0
2.,A - > 2.,2.,Dự phòng giảm giá đầu tư chứng khoán,,(179.987),(104.644),,,-179987.0,-104644.0
VIII,A - > VIII,VIII,"Góp vốn, đầu tư dài hạn",,1.826.477,997.591,,,1826477.0,997591.0
1.,A - > 1.,1.,Đầu tư dài hạn khác,V.9,1.881.987,1.006.177,,,1881987.0,1006177.0
2.,A - > 2.,2.,Dự phòng giảm giá đầu tư dài hạn,,(55.510),(8.586),,,-55510.0,-8586.0
IX,A - > IX,IX,Tài sản cố định,,65.309,75.862,,,65309.0,75862.0
1.,A - > 1.,1.,Tài sản cố định hữu hình,V.10,23.642,28.468,,,23642.0,28468.0
a.,A - > a.,a.,Nguyên giá,,107.534,108.382,,,107534.0,108382.0
b.,A - > b.,b.,Giá trị hao mòn lũy kế,,(83.892),(79.914),,,-83892.0,-79914.0
2.,A - > 2.,2.,Tài sản cố định vô hình,V.11,41.667,47.394,,,41667.0,47394.0
a.,A - > a.,a.,Nguyên giá,,99.074,96.377,,,99074.0,96377.0
b.,A - > b.,b.,Giá trị hao mòn lũy kế,,(57.407),(48.983),,,-57407.0,-48983.0
X,A - > X,X,Tài sản có khác,V.12,3.390.435,2.115.086,,,3390435.0,2115086.0
1.,A - > 1.,1.,Các khoản phải thu,V.12.1,1.958.713,545.571,,,1958713.0,545571.0
2.,A - > 2.,2.,"Các khoản lãi, phí phải thu",V.12.2,1.422.608,1.683.350,,,1422608.0,1683350.0
3.,A - > 3.,3.,Tài sản Có khác,V.12.3,70.538,76.863,,,70538.0,76863.0
4.,A - > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,V.12.4,(61.424),(190.698),,,-61424.0,-190698.0
,,,TỔNG TÀI SẢN CÓ,,59.598.561,49.221.131,,,59598561.0,49221131.0
