row_label_raw,row_label_full,col_0,31/12/2021VND'000,1/1/2021VND'000,numeric__31/12/2021VND'000,numeric__1/1/2021VND'000
Operating costs,Operating costs,Operating costs,"437,977,940","563,082,117",,
Accrued interest payable,Accrued interest payable,Accrued interest payable,"214,245,456","228,436,211",,
Accrual for other financing costs,Accrual for other financing costs,Accrual for other financing costs,"1,791,962","14,691,057",,
Share issuance fee,Share issuance fee,Share issuance fee,-,"42,624,809",,
Consultant fee,Share issuance fee > Consultant fee,Consultant fee,"474,240","42,620,276",474.24,
Natural resource taxes and fees,Natural resource taxes and fees,Natural resource taxes and fees,"159,686,751","25,766,750",,
Bonus,Bonus,Bonus,"180,705,685","15,469,188",,
Accrual for construction work,Accrual for construction work,Accrual for construction work,"3,364,036","10,576,562",,
Others,Others,Others,"2,298,368","1,380,829",,
,,,"1,000,544,438","944,647,799",,
