row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 31/12/2021Nghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2021Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 31/12/2021Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2021Nghìn VND
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,,,,
Tỉnh Thái Nguyên (c),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tỉnh Thái Nguyên (c),Tỉnh Thái Nguyên (c),1.230.754.171,1.234.392.503,1230754171.0,1234392503.0
Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),69.638.018,61.310.120,69638018.0,61310120.0
Tài sản phúc lợi xác định thuần,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tài sản phúc lợi xác định thuần,Tài sản phúc lợi xác định thuần,43.599.772,-,43599772.0,
Phải thu dài hạn khác,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Phải thu dài hạn khác,Phải thu dài hạn khác,582.828,2.607.828,582828.0,2607828.0
,,,1.344.574.789,1.298.310.451,1344574789.0,1298310451.0
