row_label_raw,row_label_full,Other payables included the following amounts:,Other payables included the following amounts:_1,Other payables included the following amounts:_2,numeric__Other payables included the following amounts:_1,numeric__Other payables included the following amounts:_2
,,,31/12/2021VND’000,1/1/2021VND’000,,
Short-term:,Short-term:,Short-term:,Short-term:,Short-term:,,
Amounts due to Masan Group Corporation (“MSN”) – the ultimate parent companyFinancial expenses – short-term (a),Amounts due to Masan Group Corporation (“MSN”) – the ultimate parent companyFinancial expenses – short-term (a),Amounts due to Masan Group Corporation (“MSN”) – the ultimate parent companyFinancial expenses – short-term (a),"9,781,016","244,123,839",,
Amounts due to Masan Horizon Company Limited (“MH”) – the immediate parent companyNon-trade – short-term (b),Amounts due to Masan Horizon Company Limited (“MH”) – the immediate parent companyNon-trade – short-term (b),Amounts due to Masan Horizon Company Limited (“MH”) – the immediate parent companyNon-trade – short-term (b),"2,511,785","2,511,785",,
Other payable to other parties,Other payable to other parties,Other payable to other parties,Other payable to other parties,Other payable to other parties,,
Payable for termination of off-take agreement with customer,Payable for termination of off-take agreement with customer,Payable for termination of off-take agreement with customer,-,"47,056,004",,
Usance LC payable at sight (UPAS LC) – short-term (c),Usance LC payable at sight (UPAS LC) – short-term (c),Usance LC payable at sight (UPAS LC) – short-term (c),"316,882,305",-,,
Other payables – short-term,Other payables – short-term,Other payables – short-term,"13,180,357","12,991,835",,
,,,"342,355,463","306,683,463",,
