row_label_raw,row_label_full,col_0,Code,Note,2021VND'000,2020VND'000,numeric__Code,numeric__Note,numeric__2021VND'000,numeric__2020VND'000
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
Profit/(loss) before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Profit/(loss) before tax,Profit/(loss) before tax,01,,"156,515,914","(96,210,839)",1.0,,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,,"1,588,610,779","1,557,239,244",2.0,,,
Negative goodwill on acquisition of a subsidiary,Adjustments for > Negative goodwill on acquisition of a subsidiary,Negative goodwill on acquisition of a subsidiary,02,,-,"(1,298,081,205)",2.0,,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,,"(16,222,267)","160,371,671",3.0,,,
Exchange losses arising from revaluation of monetary items,Adjustments for > Exchange losses arising from revaluation of monetary items,Exchange losses arising from revaluation of monetary items,04,,"15,702,294","2,888,194",4.0,,,
Profits from investing activities,Adjustments for > Profits from investing activities,Profits from investing activities,05,,"(13,211,344)","(22,087,236)",5.0,,,
Interest expense and borrowing fees,Adjustments for > Interest expense and borrowing fees,Interest expense and borrowing fees,06,28,"1,145,321,327","1,278,848,458",6.0,28.0,,
Operating profit before changes in working capital,Adjustments for > Operating profit before changes in working capital,Operating profit before changes in working capital,08,,"2,876,716,703","1,582,968,287",8.0,,,
Change in receivables and other assets,Adjustments for > Change in receivables and other assets,Change in receivables and other assets,09,,"(716,340,962)","(216,175,072)",9.0,,,
Change in inventories,Adjustments for > Change in inventories,Change in inventories,10,,"(989,210,501)","(145,583,894)",10.0,,,
Change in payables and other liabilities,Adjustments for > Change in payables and other liabilities,Change in payables and other liabilities,11,,"(353,209,060)","(573,206,231)",11.0,,,
Change in prepaid expenses,Adjustments for > Change in prepaid expenses,Change in prepaid expenses,12,,"43,334,353","(209,068,012)",12.0,,,
,,,,,"861,290,533","438,935,078",,,,
Interest paid,Adjustments for > Interest paid,Interest paid,14,,"(1,330,110,196)","(1,248,770,678)",14.0,,,
Income tax paid,Adjustments for > Income tax paid,Income tax paid,15,,"(123,278,973)","(154,592,206)",15.0,,,
Net cash flows from operating activities,Adjustments for > Net cash flows from operating activities,Net cash flows from operating activities,20,,"(592,098,636)","(964,427,806)",20.0,,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,,"(921,559,976)","(1,474,237,254)",21.0,,,
Proceeds from disposals of fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets and other long-term assets,Proceeds from disposals of fixed assets and other long-term assets,22,,"21,625,809","12,765,546",22.0,,,
Payments for term deposit and granting loans to other parties,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for term deposit and granting loans to other parties,Payments for term deposit and granting loans to other parties,23,,-,"(1,931,153,425)",23.0,,,
Term deposits received and receipts from collecting loans,CASH FLOWS FROM INVESTING ACTIVITIES > Term deposits received and receipts from collecting loans,Term deposits received and receipts from collecting loans,24,,"1,143,479,452","1,787,321,421",24.0,,,
"Acquisition of subsidiary, net of cash acquired","CASH FLOWS FROM INVESTING ACTIVITIES > Acquisition of subsidiary, net of cash acquired","Acquisition of subsidiary, net of cash acquired",25,,"26,476,816","(1,053,739,472)",25.0,,,
Receipt of interest,CASH FLOWS FROM INVESTING ACTIVITIES > Receipt of interest,Receipt of interest,27,,"29,522,173","34,978,354",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"299,544,274","(2,624,064,830)",30.0,,,
