row_label_raw,row_label_full,Mr. Danny Le,Chairman,numeric__Chairman
Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,First Vice Chairman,
Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Member,
Mr. Akira Osada,Mr. Akira Osada,Mr. Akira Osada,Member (from 12/4/2021),
Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Independent member(from 12/4/2021),
Mr. Nguyen Van Thang,Mr. Nguyen Van Thang,Mr. Nguyen Van Thang,Member (until 12/4/2021),
