row_label_raw,row_label_full,col_0,Nhà cửaNghìn VND,ĐấtNghìn VND,Tổng cộngNghìn VND,numeric__Nhà cửaNghìn VND,numeric__ĐấtNghìn VND,numeric__Tổng cộngNghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),Số dư đầu năm > Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),1.220.893.978,-,1.220.893.978,1220893978.0,,1220893978.0
Phân loại lại từ tài sản cố định vô hình(Thuyết minh 12),Số dư đầu năm > Phân loại lại từ tài sản cố định vô hình(Thuyết minh 12),Phân loại lại từ tài sản cố định vô hình(Thuyết minh 12),-,37.535.619,37.535.619,,37535619.0,37535619.0
Chênh lệch do chuyển đổi tiền tệ,Số dư đầu năm > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(98.768.634),(3.486.710),(102.255.344),-98768634.0,-3486710.0,-102255344.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,1.122.125.344,34.048.909,1.156.174.253,1122125344.0,34048909.0,1156174253.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,65.789.575,-,65.789.575,65789575.0,,65789575.0
Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),Số dư đầu năm > Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),Phân loại lại từ tài sản cố định hữu hình(Thuyết minh 11),315.295.303,-,315.295.303,315295303.0,,315295303.0
Chênh lệch do chuyển đổi tiền tệ,Số dư đầu năm > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(25.457.933),-,(25.457.933),-25457933.0,,-25457933.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,355.626.945,-,355.626.945,355626945.0,,355626945.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,766.498.399,34.048.909,800.547.308,766498399.0,34048909.0,800547308.0
