row_label_raw,row_label_full,col_0,Chi phí đất trả trước và chi phí đền bù giải phóng mặt bằng Nghìn VND,Chi phí khai thác khoáng sản khác Nghìn VND,Chi phí phát sinh để có được hợp đồng (*) Nghìn VND,Chi phí trả trước khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Chi phí đất trả trước và chi phí đền bù giải phóng mặt bằng Nghìn VND,numeric__Chi phí khai thác khoáng sản khác Nghìn VND,numeric__Chi phí phát sinh để có được hợp đồng (*) Nghìn VND,numeric__Chi phí trả trước khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,948.324.935,1.581.256.191,181.973.835,194.339.177,2.905.894.138,948324935.0,1581256191.0,181973835.0,194339177.0,2905894138.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,205.410.232,-,45.836.483,251.246.715,,205410232.0,,45836483.0,251246715.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),433.138.222,106.227.414,-,20.968.125,560.333.761,433138222.0,106227414.0,,20968125.0,560333761.0
Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,77.591.432,-,-,-,77.591.432,77591432.0,,,,77591432.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(79.827.650),(131.046.398),(24.941.561),(72.267.295),(308.082.904),-79827650.0,-131046398.0,-24941561.0,-72267295.0,-308082904.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.379.226.939,1.761.847.439,157.032.274,188.876.490,3.486.983.142,1379226939.0,1761847439.0,157032274.0,188876490.0,3486983142.0
