row_label_raw,row_label_full,col_0,Code,Note,31/12/2021VND'000,1/1/2021VND'000,numeric__Code,numeric__Note,numeric__31/12/2021VND'000,numeric__1/1/2021VND'000
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"10,576,736,330","9,756,298,985",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"1,043,789,572","761,930,286",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"644,789,572","705,930,286",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"399,000,000","56,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,6(a),"7,400,000",-,120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,,"7,400,000",-,123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"2,652,953,397","2,771,124,731",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"1,988,261,387","1,166,693,898",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"243,425,908","139,861,845",132.0,,,
Loan receivables,ASSETS > Loan receivables,Loan receivables,135,8,-,"1,143,479,452",135.0,8.0,,
Other receivables,ASSETS > Other receivables,Other receivables,136,9,"421,266,102","321,089,536",136.0,9.0,,
Inventories,ASSETS > Inventories,Inventories,140,10,"5,930,372,391","4,880,128,480",140.0,10.0,,
Inventories,ASSETS > Inventories,Inventories,141,,"5,958,352,149","4,969,141,648",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(27,979,758)","(89,013,168)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"942,220,970","1,343,115,488",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,,"46,128,020","56,241,220",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"896,037,352","1,286,793,842",152.0,,,
Taxes and others receivable fromState Treasury,ASSETS > Taxes and others receivable fromState Treasury,Taxes and others receivable fromState Treasury,153,,"55,598","80,426",153.0,,55.598,80.426
