row_label_raw,row_label_full,col_0,1/1/2021VND'000,Recognisedin consolidatedstatement of incomeVND'000,Recognisedin equityVND'000,31/12/2021VND'000,numeric__1/1/2021VND'000,numeric__Recognisedin consolidatedstatement of incomeVND'000,numeric__Recognisedin equityVND'000,numeric__31/12/2021VND'000
Mineral reserves and mineral resources,Mineral reserves and mineral resources,Mineral reserves and mineral resources,"(552,077,034)","22,125,315",-,"(529,951,719)",,,,
Unrealized (loss)/profit on intra-group transactions,Unrealized (loss)/profit on intra-group transactions,Unrealized (loss)/profit on intra-group transactions,"(45,054,074)","36,152,985",-,"(8,901,089)",,,,
Pre-existing relationship asset,Pre-existing relationship asset,Pre-existing relationship asset,"20,045,683","(4,009,137)",-,"16,036,546",,,,
Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),"941,694,831","106,038,210","(394,002,910)","653,730,131",,,,
Tax losses carry-forwards,Tax losses carry-forwards,Tax losses carry-forwards,"187,383,399","3,691,092","(9,596,560)","181,477,931",,,,
Identified intangible assets from business combination,Identified intangible assets from business combination,Identified intangible assets from business combination,"(1,010,890,563)","44,318,402","87,709,545","(878,862,616)",,,,
Identified tangible assets from business combination,Identified tangible assets from business combination,Identified tangible assets from business combination,"(713,331,143)","27,204,558","50,681,362","(635,445,223)",,,,
"Accrual, provisions and others","Accrual, provisions and others","Accrual, provisions and others","22,879,042","(71,206,627)","3,137,531","(45,190,054)",,,,
,,,"(1,149,349,859)","164,314,798","(262,071,032)","(1,247,106,093)",,,,
