row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
,,,Ông Danny Le,Chủ tịch,,
,,,Ông Nguyễn Thiều Nam,Phó Chủ tịch thứ nhất,,
,,,Ông Craig Richard Bradshaw,Thành viên,,
,,,Ông Akira Osada,Thành viên (từ ngày 12/4/2021),,
,,,Bà Nguyễn Thu Hiền,Thành viên độc lập(từ ngày 12/4/2021),,
,,,Ông Nguyễn Văn Thắng,Thành viên (đến ngày 12/4/2021),,
