row_label_raw,row_label_full,Từ ngày 1/1/2021 đến ngày 31/12/2021,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,112.758.089,164.118.584,276.876.673,,,112758089.0,164118584.0,276876673.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,644.683.303,,,,,644683303.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,11.728.610,44.344.098,679.307.009,69.379.559,804.759.276,11728610.0,44344098.0,679307009.0,69379559.0,804759276.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,783.851.503,,,,,783851503.0
Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,,,,,308.082.904,,,,,308082904.0
Từ ngày 1/1/2020 đến ngày 31/12/2020,Từ ngày 1/1/2020 đến ngày 31/12/2020,Từ ngày 1/1/2020 đến ngày 31/12/2020,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1/1/2020 đến ngày 31/12/2020 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,95.552.600,83.095.789,178.648.389,,,95552600.0,83095789.0,178648389.0
Chi tiêu vốn không phân bổ,Từ ngày 1/1/2020 đến ngày 31/12/2020 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,1.295.588.865,,,,,1295588865.0
Khấu hao tài sản cố định,Từ ngày 1/1/2020 đến ngày 31/12/2020 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,13.783.364,68.957.589,468.824.448,87.699.306,639.264.707,13783364.0,68957589.0,468824448.0,87699306.0,639264707.0
Khấu hao tài sản cố định không phân bổ,Từ ngày 1/1/2020 đến ngày 31/12/2020 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,917.974.537,,,,,917974537.0
Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,Từ ngày 1/1/2020 đến ngày 31/12/2020 > Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuấtkinh doanh chung không phân bổ theo bộ phận,,,,,231.291.861,,,,,231291861.0
