row_label_raw,row_label_full,Thuế phải nộp Nhà nước Việt Nam > Thuế giá trị gia tăng,1/1/2021Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Số phải nộp trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > 456.402.747,Số đã nộp/bùtrừ trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > (456.402.747),Biến động khácNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Chênh lệch dochuyển đổi tiền tệNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,31/12/2021Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__1/1/2021Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Số phải nộp trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > 456.402.747,numeric__Số đã nộp/bùtrừ trong nămNghìn VND > Thuế phải nộp Nhà nước Việt Nam > (456.402.747),numeric__Biến động khácNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Chênh lệch dochuyển đổi tiền tệNghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__31/12/2021Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,201.218.547,(201.218.547),-,-,-,,201218547.0,-201218547.0,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,454.802,21.689.161,(21.045.626),-,-,1.098.337,454802.0,21689161.0,-21045626.0,,,1098337.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,63.532.212,(63.532.212),-,-,-,,63532212.0,-63532212.0,,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.781.303,99.662.969,(99.278.164),-,-,9.166.108,8781303.0,99662969.0,-99278164.0,,,9166108.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,282.373.179,(282.373.179),-,-,-,,282373179.0,-282373179.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,3.863.318,17.017.626,(16.133.073),-,-,4.747.871,3863318.0,17017626.0,-16133073.0,,,4747871.0
,,,13.099.423,1.141.896.441,(1.139.983.548),-,-,15.012.316,13099423.0,1141896441.0,-1139983548.0,,,15012316.0
Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp cho cơ quan thuế nước ngoài > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,101.345.073,38.017.922,(102.233.347),45.401.147,(103.976),82.426.819,101345073.0,38017922.0,-102233347.0,45401147.0,-103976.0,82426819.0
Các loại thuế khác,Thuế phải nộp cho cơ quan thuế nước ngoài > Các loại thuế khác,Các loại thuế khác,48.232.285,346.012.147,(279.533.109),(45.401.147),209.243,69.519.419,48232285.0,346012147.0,-279533109.0,-45401147.0,209243.0,69519419.0
,,,149.577.358,384.030.069,(381.766.456),-,105.267,151.946.238,149577358.0,384030069.0,-381766456.0,,105267.0,151946238.0
,,,162.676.781,1.525.926.510,(1.521.750.004),-,105.267,166.958.554,162676781.0,1525926510.0,-1521750004.0,,105267.0,166958554.0
