row_label_raw,row_label_full,col_0,2021Nghìn VND,2020Nghìn VND,numeric__2021Nghìn VND,numeric__2020Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.467.480.229,1.694.487.259,1467480229.0,1694487259.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,771.654.960,554.779.318,771654960.0,554779318.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,112.549.289,,112549289.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),(392.432.997),(849.022.981),-392432997.0,-849022981.0
Chuyển sang tài sản cố định vô hình (Thuyết minh 12),Chuyển sang tài sản cố định vô hình (Thuyết minh 12),Chuyển sang tài sản cố định vô hình (Thuyết minh 12),(3.717.151),(5.097.779),-3717151.0,-5097779.0
Chuyển sang chi phí trả trước dài hạn (Thuyết minh 15),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 15),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 15),(560.333.761),(8.934.805),-560333761.0,-8934805.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,(37.931.144),,-37931144.0
Phân loại lại sang phải thu dài hạn khác,Phân loại lại sang phải thu dài hạn khác,Phân loại lại sang phải thu dài hạn khác,(120.700.853),-,-120700853.0,
Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(4.466.239),6.651.072,-4466239.0,6651072.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.157.484.188,1.467.480.229,1157484188.0,1467480229.0
