row_label_raw,row_label_full,col_0,Tax rate,31/12/2021VND'000,1/1/2021VND'000,numeric__Tax rate,numeric__31/12/2021VND'000,numeric__1/1/2021VND'000
Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,,,
Remeasurement of provision for pension liabilities,Deferred tax assets: > Remeasurement of provision for pension liabilities,Remeasurement of provision for pension liabilities,30%,"653,730,131","941,694,831",0.3,,
Tax losses carry-forwards,Deferred tax assets: > Tax losses carry-forwards,Tax losses carry-forwards,30%,"181,477,931","187,383,399",0.3,,
Unrealized gain on intra-group transactions,Deferred tax assets: > Unrealized gain on intra-group transactions,Unrealized gain on intra-group transactions,10%,"2,537,590",-,0.1,,
Pre-existing relationship - Benefit from contract with NPM,Deferred tax assets: > Pre-existing relationship - Benefit from contract with NPM,Pre-existing relationship - Benefit from contract with NPM,30%,"16,036,546","20,045,683",0.3,,
"Accruals, provisions and others (*)","Deferred tax assets: > Accruals, provisions and others (*)","Accruals, provisions and others (*)",30%,"33,723,569","58,298,409",0.3,,
Net-off,Deferred tax assets: > Net-off,Net-off,30%,"(590,701,894)","(513,938,646)",0.3,,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,,"296,803,873","693,483,676",,,
Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,,,
Mineral reserves and mineral resources,Deferred tax liabilities: > Mineral reserves and mineral resources,Mineral reserves and mineral resources,15%,"529,951,719","552,077,034",0.15,,
Unrealized loss on intra-group transactions,Unrealized loss on intra-group transactions,Unrealized loss on intra-group transactions,10% - 15%,"11,438,679","45,054,074",,,
Newly identified intangible assets from business combination,Newly identified intangible assets from business combination,Newly identified intangible assets from business combination,25% - 30%,"878,862,616","1,010,890,563",,,
Newly identified tangible assets from business combination (*),Newly identified tangible assets from business combination (*),Newly identified tangible assets from business combination (*),15% - 30%,"635,445,223","713,331,143",,,
Others (*),Newly identified tangible assets from business combination (*) > Others (*),Others (*),30%,"103,244,010","(12,320,767)",0.3,,
Net-off,Newly identified tangible assets from business combination (*) > Net-off,Net-off,30%,"(615,032,281)","(466,198,512)",0.3,,
Total deferred tax liabilities,Total deferred tax liabilities,Total deferred tax liabilities,,"1,543,909,966","1,842,833,535",,,
