row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.874.947.836,17.448.092.882,42.933.174,16.483.397,5.095.926.136,30.478.383.425,7874947836.0,17448092882.0,42933174.0,16483397.0,5095926136.0,30478383425.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.232.853,83.406.632,-,-,-,88.639.485,5232853.0,83406632.0,,,,88639485.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),178.665.481,208.850.014,-,4.917.502,-,392.432.997,178665481.0,208850014.0,,4917502.0,,392432997.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.990.310),(51.453.623),-,-,-,(53.443.933),-1990310.0,-51453623.0,,,,-53443933.0
Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),Nguyên giá > Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),(1.220.893.978),-,-,-,-,(1.220.893.978),-1220893978.0,,,,,-1220893978.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(92.555.627),(269.225.291),-,-,-,(361.780.918),-92555627.0,-269225291.0,,,,-361780918.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.743.406.255,17.419.670.614,42.933.174,21.400.899,5.095.926.136,29.323.337.078,6743406255.0,17419670614.0,42933174.0,21400899.0,5095926136.0,29323337078.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.025.441.828,7.233.272.724,39.870.202,12.966.186,1.339.999.417,10.651.550.357,2025441828.0,7233272724.0,39870202.0,12966186.0,1339999417.0,10651550357.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,302.764.310,837.659.257,1.099.065,2.439.026,151.304.447,1.295.266.105,302764310.0,837659257.0,1099065.0,2439026.0,151304447.0,1295266105.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(309.350),(30.428.605),-,-,-,(30.737.955),-309350.0,-30428605.0,,,,-30737955.0
Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),Giá trị hao mòn lũy kế > Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),Phân loại lại sang bất động sản đầu tư (Thuyết minh 13),(315.295.303),-,-,-,-,(315.295.303),-315295303.0,,,,,-315295303.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(16.480.144),(177.795.634),-,-,-,(194.275.778),-16480144.0,-177795634.0,,,,-194275778.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.996.121.341,7.862.707.742,40.969.267,15.405.212,1.491.303.864,11.406.507.426,1996121341.0,7862707742.0,40969267.0,15405212.0,1491303864.0,11406507426.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.849.506.008,10.214.820.158,3.062.972,3.517.211,3.755.926.719,19.826.833.068,5849506008.0,10214820158.0,3062972.0,3517211.0,3755926719.0,19826833068.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.747.284.914,9.556.962.872,1.963.907,5.995.687,3.604.622.272,17.916.829.652,4747284914.0,9556962872.0,1963907.0,5995687.0,3604622272.0,17916829652.0
