row_label_raw,row_label_full,Related Party,Nature of transactions,2021VND'000,2020VND'000,numeric__Nature of transactions,numeric__2021VND'000,numeric__2020VND'000
Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Borrowings received,"241,676,000","2,181,000,000",,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Borrowings repaid,"60,000,000","2,181,000,000",,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Interest expense,"9,850,057","13,773,529",,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Loan granted,-,"1,923,753,425",,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Loan collected,"1,143,479,452","1,780,273,973",,,
Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Masan GroupCorporation (“MSN”),Interest income from loan granted,"4,342,451","46,098,803",,,
Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Interest expense and borrowing fees,"107,712,636","91,904,512",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Borrowings received,"1,621,482,534","38,823,600",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Borrowings repaid,"1,393,426,927","1,777,789,296",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond proceeds received (i),"1,000,000,000","5,300,138,629",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond repurchased,"109,198,100","1,900,979,224",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Purchase of trading securities,"212,874,260",-,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Sales of trading securities,"213,756,230",-,,,
Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,,,
Masan ConsumerCorporation,Masan ConsumerCorporation,Masan ConsumerCorporation,Purchase of goods,"1,157,083","1,370,253",,,
Masan ConsumerCorporation,Masan ConsumerCorporation > Masan ConsumerCorporation,Masan ConsumerCorporation,Purchase of services,"786,573","1,273,609",,786.573,
Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,,,
,,,"Salary, bonus and other benefits (ii)","39,110,438","25,157,139",,,
