row_label_raw,row_label_full,col_0,1/1/2021Carrying amount and amount within repayment capacity VND’000,Movement during the year > Additions VND’000,Movement during the year > Payments VND’000,Movement during the year > Unrealised foreign exchange differences VND’000,31/12/2021Carrying amount and amount within repayment capacity VND’000,numeric__1/1/2021Carrying amount and amount within repayment capacity VND’000,numeric__Movement during the year > Additions VND’000,numeric__Movement during the year > Payments VND’000,numeric__Movement during the year > Unrealised foreign exchange differences VND’000,numeric__31/12/2021Carrying amount and amount within repayment capacity VND’000
Short-term borrowings,Short-term borrowings,Short-term borrowings,"3,164,644,018","5,608,097,474","(4,966,849,015)","(4,262,090)","3,801,630,387",,,,,
Current portion of long-term bonds (Note 20(b)),Current portion of long-term bonds (Note 20(b)),Current portion of long-term bonds (Note 20(b)),"998,222,222","1,000,240,564","(1,000,000,000)",-,"998,462,786",,,,,
,,,"4,162,866,240","6,608,338,038","(5,966,849,015)","(4,262,090)","4,800,093,173",,,,,
