row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021Nghìn VND,1/1/2021Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021Nghìn VND,numeric__1/1/2021Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,10.576.736.330,9.756.298.985,100.0,,10576736330.0,9756298985.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,1.043.789.572,761.930.286,110.0,5.0,1043789572.0,761930286.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,644.789.572,705.930.286,111.0,,644789572.0,705930286.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,399.000.000,56.000.000,112.0,,399000000.0,56000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,6(a),7.400.000,-,120.0,,7400000.0,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,7.400.000,-,123.0,,7400000.0,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.652.953.397,2.771.124.731,130.0,,2652953397.0,2771124731.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,1.988.261.387,1.166.693.898,131.0,7.0,1988261387.0,1166693898.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,243.425.908,139.861.845,132.0,,243425908.0,139861845.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,8,-,1.143.479.452,135.0,8.0,,1143479452.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9,421.266.102,321.089.536,136.0,9.0,421266102.0,321089536.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,10,5.930.372.391,4.880.128.480,140.0,10.0,5930372391.0,4880128480.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,5.958.352.149,4.969.141.648,141.0,,5958352149.0,4969141648.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(27.979.758),(89.013.168),149.0,,-27979758.0,-89013168.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,942.220.970,1.343.115.488,150.0,,942220970.0,1343115488.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,46.128.020,56.241.220,151.0,,46128020.0,56241220.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,896.037.352,1.286.793.842,152.0,,896037352.0,1286793842.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,55.598,80.426,153.0,,55598.0,80426.0
