row_label_raw,row_label_full,col_0,2021Nghìn VND,2020Nghìn VND,numeric__2021Nghìn VND,numeric__2020Nghìn VND
Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,156.515.914,(96.210.839),156515914.0,-96210839.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,31.303.183,(19.242.167),31303183.0,-19242167.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,4.984.153,7.151.662,4984153.0,7151662.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(27.844.449),-,-27844449.0,
Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với công ty con,(215.184.381),7.635.516,-215184381.0,7635516.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,-,(259.616.241),,-259616241.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(24.856.632),-,-24856632.0,
Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,(158.554),(4.225.330),-158554.0,-4225330.0
Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,35.745.813,-,35745813.0,
Biến động tài sản thuế thu nhập hoãn lại chưa được ghi nhận phát sinh từ chênh lệch tạm thời,Biến động tài sản thuế thu nhập hoãn lại chưa được ghi nhận phát sinh từ chênh lệch tạm thời,Biến động tài sản thuế thu nhập hoãn lại chưa được ghi nhận phát sinh từ chênh lệch tạm thời,91.403.152,120.294.763,91403152.0,120294763.0
,,,(104.607.715),(148.001.797),-104607715.0,-148001797.0
