row_label_raw,row_label_full,col_0,Currency,31/12/2021VND'000,1/1/2021VND'000,numeric__Currency,numeric__31/12/2021VND'000,numeric__1/1/2021VND'000
Secured bank loan (i),Secured bank loan (i),Secured bank loan (i),USD,"349,968,164","1,135,396,849",,,
Secured bank loan (i),Secured bank loan (i),Secured bank loan (i),VND,"908,780,000",-,,,
Secured bank loan (ii),Secured bank loan (ii),Secured bank loan (ii),USD,"99,247,616",-,,,
Secured bank loan (iii),Secured bank loan (iii),Secured bank loan (iii),VND,"966,211,032","895,817,351",,,
Secured bank loan (iv),Secured bank loan (iv),Secured bank loan (iv),USD,"462,795,428","333,766,713",,,
Secured bank loan (iv),Secured bank loan (iv) > Secured bank loan (iv),Secured bank loan (iv),VND,"974,000","286,954,000",,974.0,
Secured bank loan,Secured bank loan,Secured bank loan,VND,-,"190,352,000",,,
Unsecured bank loan (v),Unsecured bank loan (v),Unsecured bank loan (v),VND,"35,000,000","100,589,728",,,
Unsecured bank loan (v),Unsecured bank loan (v),Unsecured bank loan (v),USD,"291,496,322","96,054,387",,,
Secured bank loan (vi),Secured bank loan (vi),Secured bank loan (vi),USD,"55,056,000","125,712,990",,,
Secured bank loan (vii),Secured bank loan (vii),Secured bank loan (vii),VND,"107,331,633",-,,,
Secured bank loan (vii),Secured bank loan (vii),Secured bank loan (vii),USD,"334,198,913",-,,,
Secured bank loan (viii),Secured bank loan (viii),Secured bank loan (viii),VND,"8,895,279",-,,,
Loan from related party (ix),Loan from related party (ix),Loan from related party (ix),VND,"181,676,000",-,,,
,,,,"3,801,630,387","3,164,644,018",,,
