row_label_raw,row_label_full,col_0,2021VND'000,2020VND'000,numeric__2021VND'000,numeric__2020VND'000
Opening balance,Opening balance,Opening balance,"1,467,480,229","1,694,487,259",,
Additions during the year,Additions during the year,Additions during the year,"771,654,960","554,779,318",,
Increases from business combination,Increases from business combination,Increases from business combination,-,"112,549,289",,
Transfer to tangible fixed assets (Note 11),Transfer to tangible fixed assets (Note 11),Transfer to tangible fixed assets (Note 11),"(392,432,997)","(849,022,981)",,
Transfer to intangible fixed assets (Note 12),Transfer to intangible fixed assets (Note 12),Transfer to intangible fixed assets (Note 12),"(3,717,151)","(5,097,779)",,
Transfer to long-term prepaid expenses (Note 15),Transfer to long-term prepaid expenses (Note 15),Transfer to long-term prepaid expenses (Note 15),"(560,333,761)","(8,934,805)",,
Transfer to short-term prepaid expenses,Transfer to short-term prepaid expenses,Transfer to short-term prepaid expenses,-,"(37,931,144)",,
Reclassification to other long-term receivables,Reclassification to other long-term receivables,Reclassification to other long-term receivables,"(120,700,853)",-,,
Currency translation differences,Currency translation differences,Currency translation differences,"(4,466,239)","6,651,072",,
Closing balance,Closing balance,Closing balance,"1,157,484,188","1,467,480,229",,
