row_label_raw,row_label_full,col_0,Increased by Tonnes of ore,numeric__Increased by Tonnes of ore
M&E relating to mineral processing activities,M&E relating to mineral processing activities,M&E relating to mineral processing activities,"6,422,588",
M&E relating to mineral processing activities and to be used in OTC retreatment,M&E relating to mineral processing activities and to be used in OTC retreatment,M&E relating to mineral processing activities and to be used in OTC retreatment,"21,742,588",
Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,"21,742,588",
