row_label_raw,row_label_full,Tax payables to Vietnamese State Treasury,1/1/2021VND'000 > Tax payables to Vietnamese State Treasury,IncurredVND'000 > Tax payables to Vietnamese State Treasury,Paid/OffsetVND'000 > Tax payables to Vietnamese State Treasury,Other movementsVND'000 > Tax payables to Vietnamese State Treasury,Currency translation differencesVND'000 > Tax payables to Vietnamese State Treasury,31/12/2021VND'000 > Tax payables to Vietnamese State Treasury,numeric__1/1/2021VND'000 > Tax payables to Vietnamese State Treasury,numeric__IncurredVND'000 > Tax payables to Vietnamese State Treasury,numeric__Paid/OffsetVND'000 > Tax payables to Vietnamese State Treasury,numeric__Other movementsVND'000 > Tax payables to Vietnamese State Treasury,numeric__Currency translation differencesVND'000 > Tax payables to Vietnamese State Treasury,numeric__31/12/2021VND'000 > Tax payables to Vietnamese State Treasury
Value added tax,Value added tax,Value added tax,-,"456,402,747","(456,402,747)",-,-,-,,,,,,
Import-export tax,Import-export tax,Import-export tax,-,"201,218,547","(201,218,547)",-,-,-,,,,,,
Corporate income tax,Import-export tax > Corporate income tax,Corporate income tax,"454,802","21,689,161","(21,045,626)",-,-,"1,098,337",454.802,,,,,
Environment protection tax,Environment protection tax,Environment protection tax,-,"63,532,212","(63,532,212)",-,-,-,,,,,,
Personal income tax,Personal income tax,Personal income tax,"8,781,303","99,662,969","(99,278,164)",-,-,"9,166,108",,,,,,
Natural resource tax,Natural resource tax,Natural resource tax,-,"282,373,179","(282,373,179)",-,-,-,,,,,,
Other taxes,Other taxes,Other taxes,"3,863,318","17,017,626","(16,133,073)",-,-,"4,747,871",,,,,,
,,,"13,099,423","1,141,896,441","(1,139,983,548)",-,-,"15,012,316",,,,,,
Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,,,,,,
Corporate income tax,Tax payables to foreign tax authorities > Corporate income tax,Corporate income tax,"101,345,073","38,017,922","(102,233,347)","45,401,147","(103,976)","82,426,819",,,,,-103.976,
Other taxes,Tax payables to foreign tax authorities > Other taxes,Other taxes,"48,232,285","346,012,147","(279,533,109)","(45,401,147)","209,243","69,519,419",,,,,209.243,
,,,"149,577,358","384,030,069","(381,766,456)",-,"105,267","151,946,238",,,,,105.267,
,,,"162,676,781","1,525,926,510","(1,521,750,004)",-,"105,267","166,958,554",,,,,105.267,
