row_label_raw,row_label_full,col_0,Land VND'000,Software VND'000,Mining rights VND'000,Development cost (*) VND'000,Brand name VND'000,Customer Relationship VND'000,Technologies VND'000,Other intangible assets VND'000,Total VND'000,numeric__Land VND'000,numeric__Software VND'000,numeric__Mining rights VND'000,numeric__Development cost (*) VND'000,numeric__Brand name VND'000,numeric__Customer Relationship VND'000,numeric__Technologies VND'000,numeric__Other intangible assets VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,,,,
Opening balance,Opening balance,Opening balance,"71,973,549","424,817,716","588,370,818","685,832,537","1,120,478,861","230,117,249","1,545,588,076","26,485,360","4,693,664,166",,,,,,,,,
Additions,Additions,Additions,-,"1,786,218","204,284,393",-,-,-,-,-,"206,070,611",,,,,,,,,
Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),-,"3,717,151",-,-,-,-,-,-,"3,717,151",,,,,,,,,
Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),"(37,535,619)",-,-,-,-,-,-,-,"(37,535,619)",,,,,,,,,
Currency translation differences,Reclassification to investment properties (Note 13) > Currency translation differences,Currency translation differences,"(2,757,450)","(29,039,864)",-,"(63,707,482)","(104,082,094)","(21,375,758)","(143,570,797)","(969,745)","(365,503,190)",,,,,,,,-969.745,
Closing balance,Closing balance,Closing balance,"31,680,480","401,281,221","792,655,211","622,125,055","1,016,396,767","208,741,491","1,402,017,279","25,515,615","4,500,413,119",,,,,,,,,
Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,,,,,,,,,
Opening balance,Opening balance,Opening balance,-,"383,865,326","188,670,686","89,794,389","22,316,296","3,791,608","44,077,926","3,228,536","735,744,767",,,,,,,,,
Charge for the year,Charge for the year,Charge for the year,-,"19,933,985","47,063,729","42,598,930","36,595,677","6,295,853","73,190,095","1,876,830","227,555,099",,,,,,,,,
Currency translation differences,Charge for the year > Currency translation differences,Currency translation differences,-,"(27,736,818)",-,"(10,996,472)","(4,821,220)","(781,787)","(9,088,377)","(189,483)","(53,614,157)",,,,,,-781.787,,-189.483,
Closing balance,Closing balance,Closing balance,-,"376,062,493","235,734,415","121,396,847","54,090,753","9,305,674","108,179,644","4,915,883","909,685,709",,,,,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,,,,
Opening balance,Opening balance,Opening balance,"71,973,549","40,952,390","399,700,132","596,038,148","1,098,162,565","226,325,641","1,501,510,150","23,256,824","3,957,919,399",,,,,,,,,
Closing balance,Closing balance,Closing balance,"31,680,480","25,218,728","556,920,796","500,728,208","962,306,014","199,435,817","1,293,837,635","20,599,732","3,590,727,410",,,,,,,,,
