row_label_raw,row_label_full,col_0,Mine rehabilitation VND'000,Mining rights VND'000,Pensions and others VND'000,Total VND'000,numeric__Mine rehabilitation VND'000,numeric__Mining rights VND'000,numeric__Pensions and others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"103,800,498","390,248,573","6,963,327,331","7,457,376,402",,,,
Provision made during the year,Provision made during the year,Provision made during the year,"4,899,383","216,015,571","17,683,356","238,598,310",,,,
Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),-,-,"(483,845,303)","(483,845,303)",,,,
Provision used during the year,Provision used during the year,Provision used during the year,-,"(73,145,650)","(201,538,021)","(274,683,671)",,,,
Currency translation differences,Currency translation differences,Currency translation differences,-,-,"(586,720,592)","(586,720,592)",,,,
Closing balance,Closing balance,Closing balance,"108,699,881","533,118,494","5,708,906,771","6,350,725,146",,,,
