row_label_raw,row_label_full,Tên công ty,Tên công ty_1,Địa chỉ,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại 31/12/2021 và 1/1/2021,numeric__Tên công ty_1,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích kinh tế tại 31/12/2021 và 1/1/2021
H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,(ii),"Thượng Hải, Trung Quốc",Kinh doanh và phân phối,100%,,,,1.0
H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,(ii),"Sarnia, Ontario, Canada",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,,,,1.0
H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,(ii),"Tokyo, Nhật Bản",Kinh doanh và phân phối,100%,,,,1.0
H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,(ii),"Newton, Mỹ",Kinh doanh và phân phối,100%,,,,1.0
"H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.",(ii),"Cám Châu, Trung Quốc",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),60%,,,,0.6
Công ty liên kếtTên công ty,Công ty liên kếtTên công ty,Công ty liên kếtTên công ty,Công ty liên kếtTên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại 31/12/2021 và 1/1/2021,,,,
"Công ty liên kết gián tiếpJiangwu H.C. Starck Tungsten Products Co., Ltd.","Công ty liên kếtTên công ty > Công ty liên kết gián tiếpJiangwu H.C. Starck Tungsten Products Co., Ltd.","Công ty liên kết gián tiếpJiangwu H.C. Starck Tungsten Products Co., Ltd.",(ii),"Cám Châu, Trung Quốc",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),30%,,,,0.3
