row_label_raw,row_label_full,col_0,Buildings and structures VND'000,Machinery and equipment VND'000,Office equipment VND'000,Motor vehicles VND'000,Other mining assets VND'000,Total VND'000,numeric__Buildings and structures VND'000,numeric__Machinery and equipment VND'000,numeric__Office equipment VND'000,numeric__Motor vehicles VND'000,numeric__Other mining assets VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"7,874,947,836","17,448,092,882","42,933,174","16,483,397","5,095,926,136","30,478,383,425",,,,,,
Additions,Additions,Additions,"5,232,853","83,406,632",-,-,-,"88,639,485",,,,,,
Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),"178,665,481","208,850,014",-,"4,917,502",-,"392,432,997",,,,,,
Disposals,Disposals,Disposals,"(1,990,310)","(51,453,623)",-,-,-,"(53,443,933)",,,,,,
Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),"(1,220,893,978)",-,-,-,-,"(1,220,893,978)",,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"(92,555,627)","(269,225,291)",-,-,-,"(361,780,918)",,,,,,
Closing balance,Closing balance,Closing balance,"6,743,406,255","17,419,670,614","42,933,174","21,400,899","5,095,926,136","29,323,337,078",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"2,025,441,828","7,233,272,724","39,870,202","12,966,186","1,339,999,417","10,651,550,357",,,,,,
Charge for the year,Charge for the year,Charge for the year,"302,764,310","837,659,257","1,099,065","2,439,026","151,304,447","1,295,266,105",,,,,,
Disposals,Charge for the year > Disposals,Disposals,"(309,350)","(30,428,605)",-,-,-,"(30,737,955)",-309.35,,,,,
Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),Reclassification to investment properties (Note 13),"(315,295,303)",-,-,-,-,"(315,295,303)",,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"(16,480,144)","(177,795,634)",-,-,-,"(194,275,778)",,,,,,
Closing balance,Closing balance,Closing balance,"1,996,121,341","7,862,707,742","40,969,267","15,405,212","1,491,303,864","11,406,507,426",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"5,849,506,008","10,214,820,158","3,062,972","3,517,211","3,755,926,719","19,826,833,068",,,,,,
Closing balance,Closing balance,Closing balance,"4,747,284,914","9,556,962,872","1,963,907","5,995,687","3,604,622,272","17,916,829,652",,,,,,
