row_label_raw,row_label_full,Từ ngày 1/1/2020 đến ngày 31/12/2020,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,749.991.344,1.505.652.969,4.985.152.820,50.383.525,7.291.180.658,749991344.0,1505652969.0,4985152820.0,50383525.0,7291180658.0
Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,(258.933.157),946.641.059,(429.133.271),(80.615.979),177.958.652,-258933157.0,946641059.0,-429133271.0,-80615979.0,177958652.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(508.373.134),,,,,-508373134.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,646.482.348,,,,,646482348.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(1.652.967.999),,,,,-1652967999.0
Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,(29.488.203),,,,,-29488203.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,(1.366.388.336),,,,,-1366388336.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,1.328.986.068,,,,,1328986068.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(58.808.571),,,,,-58808571.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,148.001.797,,,,,148001797.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,51.790.958,,,,,51790958.0
