row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2021 Nghìn VND,2020 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__2021 Nghìn VND,numeric__2020 Nghìn VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,13.583.641.781,7.365.774.085,1.0,,13583641781.0,7365774085.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,19.351.935,74.593.427,2.0,,19351935.0,74593427.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,26,13.564.289.846,7.291.180.658,10.0,26.0,13564289846.0,7291180658.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,11.293.885.339,7.113.222.006,11.0,,11293885339.0,7113222006.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,2.270.404.507,177.958.652,20.0,,2270404507.0,177958652.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,27,344.622.946,646.482.348,21.0,27.0,344622946.0,646482348.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,28,1.435.452.204,1.652.967.999,22.0,28.0,1435452204.0,1652967999.0
Phần lợi nhuận/(lỗ) trong công ty liên kết,Phần lợi nhuận/(lỗ) trong công ty liên kết,Phần lợi nhuận/(lỗ) trong công ty liên kết,24,,3.064.567,(29.488.203),24.0,,3064567.0,-29488203.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,29,445.622.393,226.224.066,25.0,29.0,445622393.0,226224066.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,638.030.680,282.149.068,26.0,30.0,638030680.0,282149068.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 + 24 - 25 - 26),Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 + 24 - 25 - 26),Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 + 24 - 25 - 26),30,,98.986.743,(1.366.388.336),30.0,,98986743.0,-1366388336.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,31,142.172.892,1.328.986.068,31.0,31.0,142172892.0,1328986068.0
Chi phí khác,Chi phí khác,Chi phí khác,32,32,84.643.721,58.808.571,32.0,32.0,84643721.0,58808571.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,57.529.171,1.270.177.497,40.0,,57529171.0,1270177497.0
Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),50,,156.515.914,(96.210.839),50.0,,156515914.0,-96210839.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,33,59.707.083,20.654.658,51.0,33.0,59707083.0,20654658.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,33,(164.314.798),(168.656.455),52.0,33.0,-164314798.0,-168656455.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),60,,261.123.629,51.790.958,60.0,,261123629.0,51790958.0
