row_label_raw,row_label_full,col_0,Prepaid land cost and land compensation costs VND'000,Other mining costs VND'000,Incremental costs of obtaining contract (*) VND'000,Others VND'000,Total VND'000,numeric__Prepaid land cost and land compensation costs VND'000,numeric__Other mining costs VND'000,numeric__Incremental costs of obtaining contract (*) VND'000,numeric__Others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"948,324,935","1,581,256,191","181,973,835","194,339,177","2,905,894,138",,,,,
Additions,Additions,Additions,-,"205,410,232",-,"45,836,483","251,246,715",,,,,
Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),Transfer from construction in progress (Note 14),"433,138,222","106,227,414",-,"20,968,125","560,333,761",,,,,
Transfer from long-term receivables,Transfer from long-term receivables,Transfer from long-term receivables,"77,591,432",-,-,-,"77,591,432",,,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(79,827,650)","(131,046,398)","(24,941,561)","(72,267,295)","(308,082,904)",,,,,
Closing balance,Closing balance,Closing balance,"1,379,226,939","1,761,847,439","157,032,274","188,876,490","3,486,983,142",,,,,
