row_label_raw,row_label_full,From 1/1/2020 to 31/12/2020,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,numeric__Copper VND'000,numeric__Fluorspar VND'000,numeric__Tungsten VND'000,numeric__Others VND'000,numeric__Total VND'000
Segment revenue,Segment revenue,Segment revenue,"749,991,344","1,505,652,969","4,985,152,820","50,383,525","7,291,180,658",,,,,
Segment gross profit/(loss),Segment gross profit/(loss),Segment gross profit/(loss),"(258,933,157)","946,641,059","(429,133,271)","(80,615,979)","177,958,652",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(508,373,134)",,,,,
Financial income,Financial income,Financial income,,,,,"646,482,348",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(1,652,967,999)",,,,,
Share of loss in associates,Share of loss in associates,Share of loss in associates,,,,,"(29,488,203)",,,,,
Results from operating activities,Results from operating activities,Results from operating activities,,,,,"(1,366,388,336)",,,,,
Other income,Other income,Other income,,,,,"1,328,986,068",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(58,808,571)",,,,,
Income tax benefit,Income tax benefit,Income tax benefit,,,,,"148,001,797",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"51,790,958",,,,,
