row_label_raw,row_label_full,col_0,Code,Note,31/12/2021VND'000,1/1/2021VND'000,numeric__Code,numeric__Note,numeric__31/12/2021VND'000,numeric__1/1/2021VND'000
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"25,010,017,858","26,029,306,779",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"7,877,179,852","7,508,154,152",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,,"1,508,640,236","952,963,298",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,16,"34,709,351","955,735,222",312.0,16.0,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,17,"166,958,554","162,676,781",313.0,17.0,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"4,777,953","16,064,491",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,18,"1,000,544,438","944,647,799",315.0,18.0,,
Other short-term payables,RESOURCES > Other short-term payables,Other short-term payables,319,19,"342,355,463","306,683,463",319.0,19.0,,
Short-term borrowings and bonds,RESOURCES > Short-term borrowings and bonds,Short-term borrowings and bonds,320,20(a),"4,800,093,173","4,162,866,240",320.0,,,
Provisions – short-term,RESOURCES > Provisions – short-term,Provisions – short-term,321,,"19,100,684","6,516,858",321.0,,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"17,132,838,006","18,521,152,627",330.0,,,
Other long-term payables,RESOURCES > Other long-term payables,Other long-term payables,337,,-,"500,170",337.0,,,500.17
Long-term borrowings and bonds,RESOURCES > Long-term borrowings and bonds,Long-term borrowings and bonds,338,20(b),"9,238,202,894","9,220,442,520",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,21(a),"1,543,909,966","1,842,833,535",341.0,,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,22,"6,350,725,146","7,457,376,402",342.0,22.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"14,341,179,324","14,079,541,035",400.0,,,
Equity,RESOURCES > Equity,Equity,410,23,"14,341,179,324","14,079,541,035",410.0,23.0,,
Share capital,RESOURCES > Share capital,Share capital,411,24,"10,991,554,200","10,991,554,200",411.0,24.0,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"10,991,554,200","10,991,554,200",,,,
Share premium,- Ordinary shares with voting rights > Share premium,Share premium,412,24,"1,098,259,892","1,098,259,892",412.0,24.0,,
Other capital,- Ordinary shares with voting rights > Other capital,Other capital,414,,"(295,683,347)","(295,683,347)",414.0,,,
Foreign exchange differences,- Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"(365,829,110)","(189,058,584)",417.0,,,
Other equity funds,- Ordinary shares with voting rights > Other equity funds,Other equity funds,420,,"(170,252,387)","(358,967,342)",420.0,,,
Retained profits after tax,- Ordinary shares with voting rights > Retained profits after tax,Retained profits after tax,421,,"2,962,204,732","2,766,593,412",421.0,,,
- Retained profits brought forward,- Retained profits brought forward,- Retained profits brought forward,421a,,"2,766,593,412","2,727,397,449",,,,
- Retained profit for the current year,- Retained profit for the current year,- Retained profit for the current year,421b,,"195,611,320","39,195,963",,,,
Non-controlling interest,- Retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"120,925,344","66,842,804",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),- Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"39,351,197,182","40,108,847,814",440.0,,,
