row_label_raw,row_label_full,col_0,Tax rate,31/12/2021Nghìn VND,1/1/2021Nghìn VND,numeric__Tax rate,numeric__31/12/2021Nghìn VND,numeric__1/1/2021Nghìn VND
Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu tríphải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu tríphải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hưu tríphải trả thuần,30%,653.730.131,941.694.831,0.3,653730131.0,941694831.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,30%,181.477.931,187.383.399,0.3,181477931.0,187383399.0
Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,10%,2.537.590,-,0.1,2537590.0,
Quan hệ có từ trước – Lợi ích của hợpđồng với NPM,Quan hệ có từ trước – Lợi ích của hợpđồng với NPM,Quan hệ có từ trước – Lợi ích của hợpđồng với NPM,30%,16.036.546,20.045.683,0.3,16036546.0,20045683.0
"Chi phí phải trả, các khoản dự phòng vàcác khoản khác (*)","Chi phí phải trả, các khoản dự phòng vàcác khoản khác (*)","Chi phí phải trả, các khoản dự phòng vàcác khoản khác (*)",30%,33.723.569,58.298.409,0.3,33723569.0,58298409.0
Bù trừ,Bù trừ,Bù trừ,30%,(590.701.894),(513.938.646),0.3,-590701894.0,-513938646.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,296.803.873,693.483.676,,296803873.0,693483676.0
Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,15%,529.951.719,552.077.034,0.15,529951719.0,552077034.0
Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,10% - 15%,11.438.679,45.054.074,,11438679.0,45054074.0
Tài sản vô hình mới được xác định từ hợpnhất kinh doanh,Tài sản vô hình mới được xác định từ hợpnhất kinh doanh,Tài sản vô hình mới được xác định từ hợpnhất kinh doanh,25% - 30%,878.862.616,1.010.890.563,,878862616.0,1010890563.0
Tài sản hữu hình mới được xác định từ hợpnhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợpnhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợpnhất kinh doanh (*),15% - 30%,635.445.223,713.331.143,,635445223.0,713331143.0
Các khoản khác (*),Các khoản khác (*),Các khoản khác (*),30%,103.244.010,(12.320.767),0.3,103244010.0,-12320767.0
Bù trừ,Bù trừ,Bù trừ,30%,(615.032.281),(466.198.512),0.3,-615032281.0,-466198512.0
Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,1.543.909.966,1.842.833.535,,1543909966.0,1842833535.0
