row_label_raw,row_label_full,col_0,2021VND'000,2020VND'000,numeric__2021VND'000,numeric__2020VND'000
Accounting profit/(loss) before tax,Accounting profit/(loss) before tax,Accounting profit/(loss) before tax,"156,515,914","(96,210,839)",,
Tax at the Company tax rate,Tax at the Company tax rate,Tax at the Company tax rate,"31,303,183","(19,242,167)",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"4,984,153","7,151,662",,
Tax incentives,Tax incentives,Tax incentives,"(27,844,449)",-,,
Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,"(215,184,381)","7,635,516",,
Tax exempt income,Tax exempt income,Tax exempt income,-,"(259,616,241)",,
Tax losses utilised,Tax losses utilised,Tax losses utilised,"(24,856,632)",-,,
Over provision for prior years,Tax losses utilised > Over provision for prior years,Over provision for prior years,"(158,554)","(4,225,330)",-158.554,
Write down of deferred tax assets,Write down of deferred tax assets,Write down of deferred tax assets,"35,745,813",-,,
Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,"91,403,152","120,294,763",,
,,,"(104,607,715)","(148,001,797)",,
